year,seoul,gu,emd,pop_total,도로명,도로명_합
2018,서울특별시,강북구,번2동,662993,덕릉로40길,서울특별시강북구덕릉로40길
2018,서울특별시,강북구,수유2동,1204245,노해로33길,서울특별시강북구노해로33길
2018,서울특별시,강북구,수유2동,1250790,노해로23길,서울특별시강북구노해로23길
2018,서울특별시,강북구,수유3동,2007049,노해로17길,서울특별시강북구노해로17길
2018,서울특별시,강북구,수유3동,2187369,한천로140길,서울특별시강북구한천로140길
2018,서울특별시,강북구,수유3동,3149369,한천로139가길,서울특별시강북구한천로139가길
2018,서울특별시,강북구,번1동,3331059,한천로132길,서울특별시강북구한천로132길
2018,서울특별시,강북구,번1동,1829373,한천로130길,서울특별시강북구한천로130길
2018,서울특별시,강북구,번1동,2176959,한천로124나길,서울특별시강북구한천로124나길
2018,서울특별시,강북구,번3동,841152,한천로109길,서울특별시강북구한천로109길
2018,서울특별시,강북구,인수동,499617,인수봉로79길,서울특별시강북구인수봉로79길
2018,서울특별시,강북구,인수동,1167957,인수봉로72길,서울특별시강북구인수봉로72길
2018,서울특별시,강북구,인수동,1092119,인수봉로56길,서울특별시강북구인수봉로56길
2018,서울특별시,강북구,번1동,4111741,오패산로67길,서울특별시강북구오패산로67길
2018,서울특별시,강북구,송중동,1135434,오패산로52길,서울특별시강북구오패산로52길
2018,서울특별시,강북구,송중동,1475187,오패산로30길,서울특별시강북구오패산로30길
2018,서울특별시,강북구,수유1동,2551961,수유로12길,서울특별시강북구수유로12길
2018,서울특별시,강북구,송천동,1498873,솔샘로65길,서울특별시강북구솔샘로65길
2018,서울특별시,강북구,미아동,2359373,솔매로50길,서울특별시강북구솔매로50길
2018,서울특별시,강북구,미아동,1503486,솔매로45길,서울특별시강북구솔매로45길
2018,서울특별시,강북구,미아동,2037167,솔매로41길,서울특별시강북구솔매로41길
2018,서울특별시,강북구,인수동,1309377,삼양로93길,서울특별시강북구삼양로93길
2018,서울특별시,강북구,수유1동,979304,삼양로77길,서울특별시강북구삼양로77길
2018,서울특별시,강북구,송천동,1830864,삼양로54길,서울특별시강북구삼양로54길
2018,서울특별시,강북구,삼양동,2864956,삼양로41길,서울특별시강북구삼양로41길
2018,서울특별시,강북구,삼각산동,1989429,삼양로27길,서울특별시강북구삼양로27길
2018,서울특별시,강북구,송천동,1621022,삼양로24길,서울특별시강북구삼양로24길
2018,서울특별시,강북구,송천동,1362739,삼양로20길,서울특별시강북구삼양로20길
2018,서울특별시,강북구,수유3동,3177532,삼각산로28길,서울특별시강북구삼각산로28길
2018,서울특별시,강북구,수유3동,1430088,도봉로99길,서울특별시강북구도봉로99길
2018,서울특별시,강북구,송중동,1854084,도봉로8길,서울특별시강북구도봉로8길
2018,서울특별시,강북구,미아동,2797890,도봉로76길,서울특별시강북구도봉로76길
2018,서울특별시,강북구,미아동,1464648,도봉로67길,서울특별시강북구도봉로67길
2018,서울특별시,강북구,미아동,1869309,도봉로45길,서울특별시강북구도봉로45길
2018,서울특별시,강북구,송중동,1245111,도봉로18길,서울특별시강북구도봉로18길
2018,서울특별시,강북구,송천동,1491844,도봉로13길,서울특별시강북구도봉로13길
2018,서울특별시,강북구,번1동,4058306,덕릉로41길,서울특별시강북구덕릉로41길
2018,서울특별시,강북구,번2동,818799,덕릉로40길,서울특별시강북구덕릉로40길
2018,서울특별시,강북구,수유2동,1344522,노해로33길,서울특별시강북구노해로33길
2018,서울특별시,강북구,수유2동,1416876,노해로23길,서울특별시강북구노해로23길
2018,서울특별시,강북구,수유3동,2098946,노해로17길,서울특별시강북구노해로17길
2018,서울특별시,강북구,수유3동,2315316,한천로140길,서울특별시강북구한천로140길
2018,서울특별시,강북구,수유3동,3022596,한천로139가길,서울특별시강북구한천로139가길
2018,서울특별시,강북구,번1동,3277700,한천로132길,서울특별시강북구한천로132길
2018,서울특별시,강북구,번1동,1956046,한천로130길,서울특별시강북구한천로130길
2018,서울특별시,강북구,번1동,2097662,한천로124나길,서울특별시강북구한천로124나길
2018,서울특별시,강북구,번3동,811237,한천로109길,서울특별시강북구한천로109길
2018,서울특별시,강북구,인수동,434826,인수봉로79길,서울특별시강북구인수봉로79길
2018,서울특별시,강북구,인수동,1075953,인수봉로72길,서울특별시강북구인수봉로72길
2018,서울특별시,강북구,인수동,1068781,인수봉로56길,서울특별시강북구인수봉로56길
2018,서울특별시,강북구,번1동,3501301,오패산로67길,서울특별시강북구오패산로67길
2018,서울특별시,강북구,송중동,1094191,오패산로52길,서울특별시강북구오패산로52길
2018,서울특별시,강북구,송중동,1436773,오패산로30길,서울특별시강북구오패산로30길
2018,서울특별시,강북구,수유1동,2310658,수유로12길,서울특별시강북구수유로12길
2018,서울특별시,강북구,송천동,1531883,솔샘로65길,서울특별시강북구솔샘로65길
2018,서울특별시,강북구,미아동,2553367,솔매로50길,서울특별시강북구솔매로50길
2018,서울특별시,강북구,미아동,1662076,솔매로45길,서울특별시강북구솔매로45길
2018,서울특별시,강북구,미아동,2050264,솔매로41길,서울특별시강북구솔매로41길
2018,서울특별시,강북구,인수동,1280194,삼양로93길,서울특별시강북구삼양로93길
2018,서울특별시,강북구,수유1동,893265,삼양로77길,서울특별시강북구삼양로77길
