기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,,,,,,,총_생활인구_수
2020,4,A,골목상권,1000845,강남대로34길,서울특별시 서초구 양재동 13-12,,,,,,3477455
2020,4,A,골목상권,1000844,강남대로23길,서울특별시 서초구 양재동 110-10,,,,,,1264607
2020,4,A,골목상권,1000843,소담길,충청남도 보령시 대천동 372-8,,,,,,6960055
2020,4,A,골목상권,1000842,원신길,서울특별시 관악구 신림동 808-494,,,,,,3005214
2020,4,A,골목상권,1000841,양지길,충청남도 논산시 연무읍 양지리 196-1,,,,,,3522214
2020,4,A,골목상권,1000840,양산길,서울특별시 관악구 신림동 403-9,,,,,,3073823
2020,4,A,골목상권,1000839,호암로24길,서울특별시 관악구 신림동 1525-11,,,,,,7392121
2020,4,A,골목상권,1000838,호암로20길,서울특별시 관악구 신림동 1559-20 미림타운,,,,,,7397982
2020,4,A,골목상권,1000837,행운길,서울특별시 관악구 봉천동 1679-19,,,,,,7597821
2020,4,A,골목상권,1000836,행운1길,서울특별시 관악구 봉천동 1672-18 행운빌,,,,,,7262517
2020,4,A,골목상권,1000835,청림3길,서울특별시 관악구 봉천동 1729-1 그린빌딩,,,,,,6092471
2020,4,A,골목상권,1000834,청룡길,경상북도 상주시 사벌국면 화달리 445-1,,,,,,8027497
2020,4,A,골목상권,1000833,청룡8길,서울특별시 관악구 봉천동 916-17 썬오피스텔,,,,,,6723525
2020,4,A,골목상권,1000832,중앙길,서울특별시 관악구 봉천동 56-98,,,,,,9284950
2020,4,A,골목상권,1000831,조원중앙로2길,서울특별시 관악구 신림동 571-6 조원동제1공영주차장,,,,,,5331803
2020,4,A,골목상권,1000830,조원로18길,서울특별시 관악구 신림동 532-34 하늘명가,,,,,,4577563
2020,4,A,골목상권,1000829,조원로10길,서울특별시 관악구 신림동 1650-9 태형그린빌라,,,,,,6092344
2020,4,A,골목상권,1000828,장군봉2길,서울특별시 관악구 봉천동 1521-34,,,,,,4881286
