No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1164,서초구,방배동,174.37,2019,6,184000,1055,3,2008,서초구 방배로28길 51,126.994541211526,37.4911933418097,정좌표
1165,서초구,방배동,84.97,2019,5,164500,1936,5,2010,서초구 효령로33길 50,126.999164686527,37.4838308980429,정좌표
1166,서초구,방배동,59.4,2019,2,86000,1448,8,2002,서초구 명달로 15,127.00591901347,37.4789559346525,정좌표
1167,서초구,방배동,59.49,2019,4,77000,1294,2,2017,서초구 효령로 89,126.993999524506,37.4806259164437,정좌표
1168,서초구,방배동,242.41,2019,8,220000,908,1,2005,서초구 방배로30길 83,126.996933527826,37.4922761701267,정좌표
1169,서초구,방배동,129.159,2019,8,110000,852,6,2006,서초구 방배천로 92,126.98340203001,37.4845719976568,정좌표
1170,서초구,방배동,132.19,2019,8,89000,673,2,1992,서초구 효령로 69,126.991718091422,37.4798297769935,정좌표
1171,서초구,방배동,181.39,2019,11,265000,1461,1,1997,서초구 방배중앙로 51,126.990715753856,37.4841981388204,정좌표
1172,서초구,방배동,204.69,2019,8,123000,601,9,1996,서초구 방배천로 118,126.984427592308,37.4864547300682,정좌표
1173,서초구,방배동,167.01,2019,3,219000,1311,8,1981,서초구 효령로 164,127.001463761961,37.4812582240698,정좌표
1174,서초구,방배동,244.57,2019,7,232000,949,2,2005,서초구 방배로32길 67-10,126.995354899267,37.4929905242425,정좌표
1175,서초구,방배동,82.71,2019,6,110000,1330,3,2001,서초구 효령로 48,126.98987980761,37.4786342219287,정좌표
1176,서초구,방배동,144.01,2019,7,97000,674,4,2006,서초구 효령로 41,126.98889118456,37.4789003576133,정좌표
1177,서초구,방배동,121.0751,2019,5,144000,1189,4,2006,서초구 방배로37길 26-9,126.987344284201,37.4941413199135,정좌표
1178,서초구,방배동,114.28,2019,1,135000,1181,3,2013,서초구 방배로32길 109,126.997434832573,37.4929035763149,정좌표
1179,서초구,방배동,84.6,2019,6,158000,1868,3,1999,서초구 방배중앙로9길 29,126.989032744264,37.4843745691546,정좌표
1180,서초구,역삼동,84.9097,2019,9,110000,1295,13,2006,서초구 언주로 332,127.047119083612,37.4974930302958,정좌표
1181,서초구,방배동,100.9,2019,6,46000,456,8,1999,서초구 사평대로6길 118,126.994331806648,37.4940452456994,정좌표
1182,서초구,방배동,261.49,2019,5,135000,516,2,1994,서초구 명달로 5-103,127.004616508595,37.4784829447756,정좌표
1183,서초구,방배동,84.286,2019,10,118800,1409,6,2006,서초구 동광로 62,126.989457209618,37.4922248982942,정좌표
1184,서초구,방배동,84.78,2019,5,127500,1504,6,1985,서초구 방배로 14,127.00137301069,37.4769358154946,정좌표
1185,서초구,방배동,104.85,2019,7,119500,1140,1,2001,서초구 청두곶14길 5,126.985731285938,37.4817012334291,정좌표
1186,서초구,방배동,244.84,2019,4,158000,645,7,2001,서초구 남부순환로291길 5,126.989380121357,37.4752970285082,정좌표
1187,서초구,방배동,227.97,2019,7,80800,354,8,1992,서초구 효령로 65,126.991367379862,37.4797381316867,정좌표
1188,서초구,방배동,96.45,2019,6,84000,871,2,2003,서초구 방배로32길 67-7,126.994884876335,37.4927598408442,정좌표
1189,서초구,방배동,255.17,2019,8,205000,803,2,1994,서초구 동광로27길 112,126.992061109759,37.4969266105209,정좌표
1190,서초구,방배동,84.67,2019,5,79000,933,2,2004,서초구 효령로4길 13,126.987562104392,37.4769521686753,정좌표
1191,서초구,방배동,244.85,2019,11,195000,796,3,2001,서초구 서초대로33길 84-5,126.995036516981,37.4922894390767,정좌표
1192,서초구,방배동,178.47,2019,2,163000,913,3,2004,서초구 동광로 116,126.995025036789,37.4937845636113,정좌표
1193,서초구,방배동,71.74,2019,9,77000,1073,6,2006,서초구 효령로21길 28,126.992339485041,37.4811833173593,정좌표
1194,서초구,방배동,223.35,2019,4,223000,998,5,2005,서초구 동광로27길 38,126.994509406999,37.4955985954111,정좌표
1195,서초구,방배동,75.32,2019,12,86500,1148,9,2004,서초구 방배로30길 84,126.996913201364,37.4919335672305,정좌표
1196,서초구,방배동,230.72,2019,2,180000,780,4,1994,서초구 동광로32길 54,126.997578147919,37.4920896279989,정좌표
