,cafe,gu_cd,gu,emd_cd,emd,gibun,road,lng,lat,year
69,빽다방,11140,중구,1114011200,남창동,서울특별시 중구 남창동 281-17,서울특별시 중구 퇴계로 37,126.9763138,37.55843645,2018
70,빽다방-목동사거리점,11500,강서구,1150010300,화곡동,서울특별시 강서구 화곡동 781-13,서울특별시 강서구 곰달래로 272,126.8631562,37.53217207,2018
71,빽다방,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 669-9,서울특별시 강남구 봉은사로30길 73,127.0371055,37.50293858,2018
72,빽다방,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로 176,127.0023932,37.50393001,2018
73,빽다방청담영동고점,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 40-2,서울특별시 강남구 선릉로 720,127.0408464,37.51906184,2018
74,빽다방천호역로데오점,11740,강동구,1174010900,천호동,서울특별시 강동구 천호동 415-29,서울특별시 강동구 올림픽로70길 57,127.1267566,37.53918208,2018
75,빽다방한양대점,11200,성동구,1120010700,행당동,서울특별시 성동구 행당동 19-9,서울특별시 성동구 마조로 21,127.0408099,37.55989712,2018
76,빽다방반포고투몰2호점,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 128-4,서울특별시 서초구 신반포로 200,127.0050321,37.50621391,2018
77,빽다방,11620,관악구,1162010100,봉천동,서울특별시 관악구 봉천동 864-1,서울특별시 관악구 관악로 155,126.95207,37.47915691,2018
78,빽다방동대문역점,11110,종로구,1111017400,창신동,서울특별시 종로구 창신동 497-2,서울특별시 종로구 종로 300-1,127.011227,37.5715829,2018
79,빽다방,11290,성북구,1129013300,정릉동,서울특별시 성북구 정릉동 401-46,서울특별시 성북구 보국문로 50,127.0100655,37.60885821,2018
80,빽다방노량진학원점,11590,동작구,1159010100,노량진동,서울특별시 동작구 노량진동 119-155,서울특별시 동작구 만양로 94-2,126.9444192,37.51184196,2018
81,빽다방삼성동공항타워점,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 153-23,서울특별시 강남구 삼성로100길 23,127.0571819,37.51004766,2018
82,빽다방월계광운대점,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 393-14,서울특별시 노원구 광운로 43,127.0589953,37.62134145,2018
