year,road_nm,pop_total,gu,emd
2020,여의대방로22카길,4604593,동작구,신대방동
2020,여의대방로22나길,2681610,동작구,신대방동
2020,여의대방로22길,3570170,동작구,신대방동
2020,양녕로26길,3697526,동작구,상도동
2020,신대방길,3355556,동작구,신대방동
2020,성대로29길,5693664,동작구,상도동
2020,성대로1길,4809985,동작구,상도동
2020,서달로8가길,3821353,동작구,흑석동
2020,서달로15길,2224112,동작구,흑석동
2020,서달로14길,2827291,동작구,흑석동
2020,서달로10길,4069846,동작구,흑석동
2020,상도로62길,5477485,동작구,상도동
2020,상도로61길,4267441,동작구,상도동
2020,상도로47길,4450170,동작구,상도1동
2020,상도로37길,4200826,동작구,상도1동
2020,상도로15길,6567629,동작구,상도동
2020,사당로8길,6048060,동작구,사당동
2020,사당로30길,4220067,동작구,사당동
2020,사당로2차길,2809312,동작구,사당동
2020,사당로29길,5349400,동작구,사당동
2020,사당로26길,5268613,동작구,사당동
2020,사당로23나길,2911402,동작구,사당동
2020,사당로23길,3392827,동작구,사당동
2020,사당로20길,5339169,동작구,사당동
2020,사당로16길,6629280,동작구,사당동
2020,사당로16가길,5847373,동작구,사당동
2020,만양로8길,6432426,동작구,노량진동
2020,만양로14길,4517327,동작구,노량진동
2020,등용로14길,3272018,동작구,대방동
2020,동작대로7길,7612699,동작구,사당동
2020,동작대로35길,5130008,동작구,사당동
2020,동작대로33길,6595814,동작구,사당동
2020,동작대로29길,4388606,동작구,사당동
2020,동작대로17길,5114329,동작구,사당동
2020,대방동2길,3274245,동작구,대방동
2020,대방동27길,2914905,동작구,대방동
2020,노량진로6길,5687920,동작구,노량진동
2020,국사봉길,5772570,동작구,대방동
2020,국사봉2길,4404915,동작구,신대방동
2020,국사봉1길,5316312,동작구,대방동
2020,구,5938625,영등포,
2020,구,5029800,영등포,
2020,구,4963409,영등포,
2020,구,3952238,영등포,
2020,구,3982195,영등포,
2020,구,4809841,영등포,
2020,구,4112477,영등포,
2020,구,2509613,영등포,
2020,구,4746895,영등포,
2020,구,2566624,영등포,
2020,구,4386316,영등포,
2020,구,1370884,영등포,
2020,구,1851169,영등포,
2020,구,3416112,영등포,
2020,구,5622520,영등포,
2020,구,5046446,영등포,
2020,구,7113965,영등포,
2020,구,5797806,영등포,
2020,구,4370362,영등포,
2020,구,2952156,영등포,
2020,구,2409668,영등포,
2020,구,3172591,영등포,
2020,구,2404608,영등포,
2020,구,4741563,영등포,
2020,구,5755397,영등포,
2020,구,5663480,영등포,
2020,구,5261120,영등포,
2020,구,4905916,영등포,
2020,구,5494013,영등포,
2020,구,4985568,영등포,
2020,구,5380902,영등포,
2020,구,3953938,영등포,
2020,구,2393553,영등포,
2020,구,5408678,영등포,
2020,구,4870235,영등포,
2020,구,3021331,영등포,
2020,구,3647674,영등포,
2020,구,3974041,영등포,
2020,구,4004175,영등포,
2020,구,5454259,영등포,
2020,구,5650761,영등포,
2020,구,2872909,영등포,
2020,구,4016369,영등포,
2020,구,5142735,영등포,
2020,구,3844158,영등포,
2020,구,3170954,영등포,
2020,구,2349602,영등포,
2020,구,2491024,영등포,
2020,구,2534182,영등포,
2020,구,5140670,영등포,
2020,시흥대로94길,3952418,금천구,독산동
2020,시흥대로84길,4263268,금천구,독산동
2020,시흥대로68길,4747252,금천구,시흥동
2020,시흥대로63길,1953625,금천구,시흥동
2020,시흥대로62가길,4014490,금천구,시흥동
2020,시흥대로36길,1419668,금천구,시흥동
2020,시흥대로22길,1566423,금천구,시흥동
2020,시흥대로153길,3083685,금천구,독산동
2020,시흥대로150길,4642004,금천구,독산동
2020,시흥대로141길,3359581,금천구,독산동
2020,시흥대로138길,2585631,금천구,독산동
2020,시흥대로120길,4492384,금천구,독산동
2020,벚꽃로56길,2163303,금천구,가산동
2020,범안로17길,1767708,금천구,독산동
2020,범안로11길,2010489,금천구,독산동
2020,문성로5길,4814598,금천구,독산동
2020,독산로85길,3267155,금천구,독산동
2020,독산로78다길,5487713,금천구,독산동
2020,독산로70길,5138696,금천구,독산동
2020,독산로64길,3805617,금천구,독산동
2020,독산로50길,2231925,금천구,독산동
2020,독산로40길,3743384,금천구,시흥동
2020,독산로108길,4723264,금천구,독산동
2020,남부순환로112길,3358396,금천구,가산동
2020,금하로24길,3031038,금천구,시흥동
2020,금하로1길,628540,금천구,독산동
2020,금하로14길,3419426,금천구,시흥동
2020,가산로5길,2956841,금천구,독산동
2020,가산로3길,2138626,금천구,독산동
2020,중앙로1길,2406043,구로구,고척동
2020,중앙로15길,3243803,구로구,고척동
2020,우마길,4023950,구로구,가리봉동
2020,오류로8길,3614641,구로구,오류동
2020,신도림로13길,2235590,구로구,신도림동
2020,새말로18길,2775928,구로구,구로동
2020,부일로1길,844041,구로구,온수동
2020,부일로15길,2003636,구로구,궁동
2020,부일로11길,2102394,구로구,궁동
2020,디지털로32길,4046002,구로구,구로동
2020,디지털로32가길,3782284,구로구,구로동
2020,디지털로27길,4433072,구로구,구로동
2020,도림로6길,5423913,구로구,구로동
2020,도림로12길,5788512,구로구,구로동
2020,남부순환로97길,2292570,구로구,개봉동
2020,구로중앙로8길,4823528,구로구,구로동
2020,구로중앙로7길,4797662,구로구,구로동
2020,구로중앙로42길,2296507,구로구,신도림동
2020,구로중앙로34길,3580040,구로구,구로동
2020,구로중앙로28길,5132700,구로구,구로동
2020,구로중앙로19길,3502866,구로구,구로동
2020,구로동로8길,8394838,구로구,구로동
2020,구로동로7길,5148504,구로구,가리봉동
2020,구로동로42길,4719147,구로구,구로동
2020,구로동로41길,3918043,구로구,구로동
2020,구로동로38길,4558010,구로구,구로동
2020,구로동로28길,4249491,구로구,구로동
2020,구로동로15길,3340306,구로구,구로동
2020,공원로6가길,3641337,구로구,구로동
2020,고척로52길,3221509,구로구,고척동
2020,고척로27다길,4235040,구로구,개봉동
2020,고척로27길,4719130,구로구,개봉동
2020,고척로21나길,4118931,구로구,개봉동
2020,경인로47길,3301152,구로구,고척동
2020,경인로35길,3478240,구로구,개봉동
