year,seoul,gu,emd,pop_total,도로명,도로명_합
2020,서울특별시,강동구,천호제1동,10454010,구천면로42길,서울특별시강동구구천면로42길
2020,서울특별시,강동구,천호제2동,9688786,구천면로41길,서울특별시강동구구천면로41길
2020,서울특별시,강동구,천호제1동,8221569,구천면로36길,서울특별시강동구구천면로36길
2020,서울특별시,강동구,고덕제1동,2008734,고덕로61길,서울특별시강동구고덕로61길
2020,서울특별시,강동구,암사제3동,2408923,고덕로25길,서울특별시강동구고덕로25길
2020,서울특별시,강동구,암사제1동,6155512,고덕로10길,서울특별시강동구고덕로10길
2020,서울특별시,강동구,성내제3동,3971822,강동대로53길,서울특별시강동구강동대로53길
2020,서울특별시,송파구,풍납1동,6493564,풍성로25길,서울특별시송파구풍성로25길
2020,서울특별시,송파구,가락2동,5093640,오금로46길,서울특별시송파구오금로46길
2020,서울특별시,송파구,가락본동,3910370,오금로36길,서울특별시송파구오금로36길
2020,서울특별시,송파구,방이2동,6453146,오금로11길,서울특별시송파구오금로11길
2020,서울특별시,송파구,오금동,3345603,양재대로72길,서울특별시송파구양재대로72길
2020,서울특별시,송파구,방이1동,3586318,양재대로71길,서울특별시송파구양재대로71길
2020,서울특별시,송파구,가락본동,5000752,양재대로64길,서울특별시송파구양재대로64길
2020,서울특별시,송파구,가락본동,3451251,양재대로62길,서울특별시송파구양재대로62길
2020,서울특별시,송파구,가락본동,4323620,송파대로30길,서울특별시송파구송파대로30길
2020,서울특별시,송파구,장지동,4148942,송이로36길,서울특별시송파구송이로36길
2020,서울특별시,송파구,문정1동,5702012,송이로32길,서울특별시송파구송이로32길
2020,서울특별시,송파구,가락2동,4906271,송이로23길,서울특별시송파구송이로23길
2020,서울특별시,송파구,잠실본동,7288863,삼전로13길,서울특별시송파구삼전로13길
2020,서울특별시,송파구,방이2동,5499348,백제고분로50길,서울특별시송파구백제고분로50길
2020,서울특별시,송파구,송파1동,4943172,백제고분로46길,서울특별시송파구백제고분로46길
2020,서울특별시,송파구,송파1동,5889428,백제고분로45길,서울특별시송파구백제고분로45길
2020,서울특별시,송파구,송파1동,4930469,백제고분로42길,서울특별시송파구백제고분로42길
2020,서울특별시,송파구,석촌동,4339151,백제고분로39길,서울특별시송파구백제고분로39길
2020,서울특별시,송파구,석촌동,5267902,백제고분로34길,서울특별시송파구백제고분로34길
2020,서울특별시,송파구,석촌동,5669071,백제고분로33길,서울특별시송파구백제고분로33길
2020,서울특별시,송파구,삼전동,4334826,백제고분로32길,서울특별시송파구백제고분로32길
2020,서울특별시,송파구,삼전동,6727255,백제고분로31길,서울특별시송파구백제고분로31길
2020,서울특별시,송파구,삼전동,4257764,백제고분로22길,서울특별시송파구백제고분로22길
2020,서울특별시,송파구,삼전동,5098324,백제고분로21길,서울특별시송파구백제고분로21길
2020,서울특별시,송파구,마천1동,5797973,마천로51길,서울특별시송파구마천로51길
2020,서울특별시,송파구,가락2동,4877272,동남로20길,서울특별시송파구동남로20길
2020,서울특별시,송파구,마천2동,5543774,거마로20길,서울특별시송파구거마로20길
2020,서울특별시,강남구,청담동,3909208,학동로77길,서울특별시강남구학동로77길
2020,서울특별시,강남구,논현1동,4204012,학동로6길,서울특별시강남구학동로6길
2020,서울특별시,강남구,삼성2동,6023917,학동로56길,서울특별시강남구학동로56길
2020,서울특별시,강남구,논현2동,3628839,학동로38길,서울특별시강남구학동로38길
2020,서울특별시,강남구,삼성1동,2394154,테헤란로81길,서울특별시강남구테헤란로81길
2020,서울특별시,강남구,일원1동,3607530,일원로9길,서울특별시강남구일원로9길
2020,서울특별시,강남구,일원1동,3849639,일원로3길,서울특별시강남구일원로3길
2020,서울특별시,강남구,대치2동,4175568,영동대로65길,서울특별시강남구영동대로65길
2020,서울특별시,강남구,삼성1동,1648470,영동대로112길,서울특별시강남구영동대로112길
2020,서울특별시,강남구,역삼2동,6387206,언주로81길,서울특별시강남구언주로81길
2020,서울특별시,강남구,신사동,3199302,압구정로2길,서울특별시강남구압구정로2길
2020,서울특별시,강남구,개포2동,949507,선릉로18길,서울특별시강남구선릉로18길
2020,서울특별시,강남구,청담동,4187298,선릉로146길,서울특별시강남구선릉로146길
2020,서울특별시,강남구,논현2동,4912092,선릉로133길,서울특별시강남구선릉로133길
2020,서울특별시,강남구,청담동,6554681,선릉로132길,서울특별시강남구선릉로132길
2020,서울특별시,강남구,논현2동,4779857,선릉로121길,서울특별시강남구선릉로121길
2020,서울특별시,강남구,대치4동,7050002,삼성로75길,서울특별시강남구삼성로75길
2020,서울특별시,강남구,대치4동,6454369,삼성로69길,서울특별시강남구삼성로69길
2020,서울특별시,강남구,대치2동,4055834,삼성로64길,서울특별시강남구삼성로64길
2020,서울특별시,강남구,대치4동,6028388,삼성로63길,서울특별시강남구삼성로63길
2020,서울특별시,강남구,대치1동,5253750,삼성로57길,서울특별시강남구삼성로57길
2020,서울특별시,강남구,청담동,3865778,삼성로147길,서울특별시강남구삼성로147길
2020,서울특별시,강남구,삼성2동,3956518,삼성로115길,서울특별시강남구삼성로115길
2020,서울특별시,강남구,삼성2동,3689705,봉은사로68길,서울특별시강남구봉은사로68길
2020,서울특별시,강남구,삼성2동,3582447,봉은사로57길,서울특별시강남구봉은사로57길
2020,서울특별시,강남구,논현2동,5650636,봉은사로43길,서울특별시강남구봉은사로43길
