상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,bus_cnt,HubName,HubDist,star,coffee,paul,mega,com,paik,high,low,total
20093795,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 175,서울특별시 송파구 백제고분로,127.0790291,37.51052638,2020,3,종합운동장역,422.6868442,33,17,1,8,6,10,51,24,75
12421780,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 777-11,서울특별시 서초구 방배중앙로,126.9865526,37.49352318,2020,2,구반포역,902.3405603,45,34,9,5,1,9,88,15,103
23513141,스타벅스,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 181,서울특별시 송파구 위례성대로,127.122997,37.51332992,2020,1,방이역,627.3547002,33,17,1,8,6,10,51,24,75
25744200,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 91-31,서울특별시 강남구 영동대로,127.0601934,37.51524372,2020,2,봉은사역,275.5584005,87,79,15,7,5,11,181,23,204
25729943,스타벅스,11680,강남구,1168011400,일원동,서울특별시 강남구 일원동 50,서울특별시 강남구 일원로,127.0895788,37.49033434,2020,0,일원역,835.8181512,87,79,15,7,5,11,181,23,204
11798770,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.0393917,37.49222561,2020,2,동오역,856.7836136,87,79,15,7,5,11,181,23,204
23454449,스타벅스,11650,서초구,1165010200,양재동,서울특별시 서초구 양재동 14-4,서울특별시 서초구 강남대로,127.0368501,37.48232032,2020,4,양재역,410.5648354,45,34,9,5,1,9,88,15,103
20378251,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 639-7,서울특별시 강남구 언주로174길,127.03642,37.52810841,2020,2,압구정로데오역,453.3403442,87,79,15,7,5,11,181,23,204
16602466,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 1022-5,서울특별시 서초구 방배로,126.9994187,37.47934212,2020,4,방배역,302.2169699,45,34,9,5,1,9,88,15,103
25742491,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로,127.0484061,37.49922769,2020,2,한티역,281.5968919,87,79,15,7,5,11,181,23,204
20545007,스타벅스,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 79,서울특별시 송파구 중대로,127.1215333,37.49440578,2020,4,가락시장역,336.5374226,33,17,1,8,6,10,51,24,75
16607287,스타벅스,11350,노원구,1135010300,공릉동,서울특별시 노원구 공릉동 597-34,서울특별시 노원구 동일로,127.0742049,37.62074093,2020,1,태릉입구역,195.7540245,11,3,0,12,2,6,14,20,34
16607096,스타벅스,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 633-31,서울특별시 노원구 초안산로2라길,127.0566071,37.63014355,2020,2,월계역,220.1446919,11,3,0,12,2,6,14,20,34
16728063,스타벅스,11290,성북구,1129013400,길음동,서울특별시 성북구 길음동 25-2,서울특별시 성북구 도봉로,127.029849,37.6108426,2020,4,미아사거리역,461.8122801,15,3,0,10,0,7,18,17,35
16598031,스타벅스,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 372-16,서울특별시 노원구 노원로,127.0664264,37.65665805,2020,8,노원역,604.6275863,11,3,0,12,2,6,14,20,34
25683194,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 70-2,서울특별시 서초구 잠원로,127.0074239,37.50923454,2020,3,반포역,403.4108373,45,34,9,5,1,9,88,15,103
16726801,스타벅스,11290,성북구,1129010300,돈암동,서울특별시 성북구 돈암동 625-2,서울특별시 성북구 정릉로,127.0252978,37.60201096,2020,4,길음역,138.9438172,15,3,0,10,0,7,18,17,35
16726897,스타벅스,11320,도봉구,1132010700,창동,서울특별시 도봉구 창동 135-26,서울특별시 도봉구 노해로65길,127.0466801,37.65162553,2020,3,창동역,1011.669291,2,0,0,7,0,2,2,9,11
16727116,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 648-22,서울특별시 강남구 테헤란로,127.0316633,37.49959623,2020,0,동오역,345.0491041,87,79,15,7,5,11,181,23,204
20009577,스타벅스,11650,서초구,1165010200,양재동,서울특별시 서초구 양재동 4-3,서울특별시 서초구 논현로,127.0425756,37.48198841,2020,6,매봉역,664.881267,45,34,9,5,1,9,88,15,103
25797473,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 679-4,서울특별시 강남구 테헤란로,127.0377338,37.50157409,2020,4,역삼역,265.1995969,87,79,15,7,5,11,181,23,204
25902757,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.0405131,37.52653786,2020,0,압구정로데오역,329.2740261,87,79,15,7,5,11,181,23,204
23208222,스타벅스,11320,도봉구,1132010700,창동,서울특별시 도봉구 창동 659-5,서울특별시 도봉구 도봉로,127.0348687,37.64834884,2020,5,쌍문역,81.13411121,2,0,0,7,0,2,2,9,11
16730041,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 721-13,서울특별시 강남구 언주로,127.043044,37.50111264,2020,1,역삼역,218.1567574,87,79,15,7,5,11,181,23,204
20389010,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 701-7,서울특별시 강남구 테헤란로,127.0437621,37.50333505,2020,2,역삼역,391.9664849,87,79,15,7,5,11,181,23,204
23196601,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.0274035,37.49493882,2020,3,강남역,409.6786299,45,34,9,5,1,9,88,15,103
20699038,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 635-13,서울특별시 강남구 압구정로42길,127.0347168,37.52683303,2020,0,압구정로데오역,647.4336657,87,79,15,7,5,11,181,23,204
22800473,스타벅스,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 723,서울특별시 노원구 노해로,127.0638259,37.65436683,2020,3,노원역,280.9447354,11,3,0,12,2,6,14,20,34
20880708,스타벅스,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 11-4,서울특별시 송파구 올림픽로35가길,127.1034466,37.51743613,2020,1,잠실나루역,204.8827292,33,17,1,8,6,10,51,24,75
