,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
149,2020,15,서초구,3127303,149,,,,,,,,,,
150,2020,15,서초구,3300288,150,,,,,,,,,,
151,2020,15,서초구,2182938,151,,,,,,,,,,
152,2020,15,서초구,3744413,152,,,,,,,,,,
153,2020,15,서초구,3587787,153,,,,,,,,,,
154,2020,15,서초구,2725883,154,,,,,,,,,,
155,2020,15,서초구,3231051,155,,,,,,,,,,
156,2020,15,서초구,4548182,156,,,,,,,,,,
157,2020,15,서초구,5647876,157,,,,,,,,,,
158,2020,1,강남구,2716694,158,,,,,,,,,,
159,2020,1,강남구,3229829,159,,,,,,,,,,
160,2020,15,서초구,2536541,160,,,,,,,,,,
161,2020,15,서초구,3223490,161,,,,,,,,,,
162,2020,15,서초구,3569133,162,,,,,,,,,,
163,2020,15,서초구,2887091,163,,,,,,,,,,
164,2020,1,강남구,2797605,164,,,,,,,,,,
165,2020,1,강남구,3477455,165,,,,,,,,,,
166,2020,1,강남구,1264607,166,,,,,,,,,,
167,2020,1,강남구,6960055,167,,,,,,,,,,
168,2020,5,관악구,3005214,168,,,,,,,,,,
169,2020,5,관악구,3522214,169,,,,,,,,,,
170,2020,5,관악구,3073823,170,,,,,,,,,,
171,2020,5,관악구,7392121,171,,,,,,,,,,
172,2020,5,관악구,7397982,172,,,,,,,,,,
173,2020,5,관악구,7597821,173,,,,,,,,,,
174,2020,5,관악구,7262517,174,,,,,,,,,,
175,2020,5,관악구,6092471,175,,,,,,,,,,
176,2020,5,관악구,8027497,176,,,,,,,,,,
177,2020,5,관악구,6723525,177,,,,,,,,,,
178,2020,19,양천구,9284950,178,,,,,,,,,,
179,2020,5,관악구,5331803,179,,,,,,,,,,
180,2020,5,관악구,4577563,180,,,,,,,,,,
181,2020,5,관악구,6092344,181,,,,,,,,,,
182,2020,5,관악구,4881286,182,,,,,,,,,,
183,2020,5,관악구,5938894,183,,,,,,,,,,
184,2020,5,관악구,4808860,184,,,,,,,,,,
