index,g3b4,gu,dong,high_count,low_count,high_bus_sum,low_bus_sum,high_sub_average,low_sub_average,year
138,1,서초구,서초동,44,4,222,5,501.8425471,364.7472284,2020
139,1,서초구,신원동,1,0,1,0,197.6100625,0,2020
140,1,서초구,양재동,3,0,13,0,422.3117303,0,2020
141,1,서초구,잠원동,11,1,30,2,530.9863978,152.1151453,2020
142,0,성북구,길음동,2,1,8,4,566.1615131,317.6714915,2020
143,0,성북구,돈암동,1,0,4,0,138.9434153,0,2020
144,0,성북구,동선동1가,0,0,0,0,0,0,2020
145,0,성북구,동선동2가,1,0,1,0,311.0068229,0,2020
146,0,성북구,동선동4가,0,1,0,3,0,101.8764413,2020
147,0,성북구,동소문동1가,0,1,0,7,0,69.3654099,2020
148,0,성북구,동소문동2가,1,0,5,0,42.58094564,0,2020
149,0,성북구,삼선동1가,1,0,3,0,156.8451536,0,2020
150,0,성북구,석관동,0,1,0,3,0,541.4193326,2020
151,0,성북구,성북동1가,1,0,5,0,252.4552003,0,2020
152,0,성북구,안암동5가,7,1,22,4,192.4385895,101.978829,2020
153,0,성북구,장위동,0,1,0,5,0,975.8170594,2020
154,0,성북구,정릉동,0,2,0,6,0,595.8392933,2020
155,0,성북구,종암동,2,0,6,0,647.2619852,0,2020
156,0,성북구,하월곡동,2,2,7,5,358.1192477,459.5021545,2020
157,1,송파구,가락동,6,4,9,12,507.1403143,346.1997945,2020
158,1,송파구,거여동,0,0,0,0,0,0,2020
159,1,송파구,문정동,10,4,17,0,336.4629537,536.168277,2020
160,1,송파구,방이동,11,0,18,0,359.9201174,0,2020
161,1,송파구,삼전동,1,1,0,1,352.3537064,580.516682,2020
162,1,송파구,석촌동,2,0,4,0,410.1451579,0,2020
163,1,송파구,송파동,3,0,4,0,311.2930147,0,2020
164,1,송파구,신천동,7,2,13,5,245.2768267,204.2968452,2020
165,1,송파구,오금동,2,0,5,0,190.955176,0,2020
166,1,송파구,잠실동,7,1,9,4,551.5561832,177.9505836,2020
167,1,송파구,장지동,2,1,6,3,1749.685274,1507.813878,2020
168,1,송파구,풍납동,0,1,0,1,0,458.5896621,2020
