표준ID,ARS-ID,정류소명,X좌표,Y좌표,NUMPOINTS
"109000112","10197",서울문화고등학교,127.0462982408,37.66274747,"0"
"109000113","10198",서울문화고등학교,127.0478429152,37.6623977714,"0"
"109000114","10199",서울문화고등학교,127.0481550364,37.6624534833,"0"
"109000115","10200",쌍문동청한빌라,127.0150272235,37.6575139692,"0"
"109000116","10201",쌍문동청한빌라,127.0147211748,37.6576824381,"0"
"109000117","10202",쌍문동우이빌라,127.018941983,37.6572758816,"0"
"109000118","10203",쌍문동우이빌라,127.0189606649,37.6573652278,"0"
"109000119","10204",초당초등학교,127.0231369153,37.6573563797,"0"
"109000120","10205",초당초등학교,127.0223232051,37.6574774295,"0"
"109000121","10206",방학동우성아파트,127.0242708967,37.657400826,"0"
"109000122","10207",방학동우성.청구아파트,127.024867,37.657521,"0"
"109000123","10208",방학3동신동아프라자,127.0277032833,37.6608322409,"0"
"109000124","10209",방학3동주민센터,127.0277095423,37.6598162835,"0"
"109000125","10210",쌍문동성원아파트,127.0289337292,37.657645309,"0"
"109000126","10211",쌍문동성원아파트,127.0285500735,37.6577240151,"0"
"109000127","10212",쌍문동한양.현대아파트,127.0317544101,37.6578267456,"0"
"109000128","10213",쌍문동현대.한양아파트,127.0313287624,37.6579107827,"0"
"109000129","10214",쌍문동삼익금호1차아파트,127.035122,37.658044,"2"
"109000130","10215",쌍문동금호1차삼익아파트,127.0346213656,37.6581208989,"2"
"109000131","10216",도봉구보건소앞,127.0376886766,37.6571904367,"0"
"109000132","10217",도봉구보건소앞,127.037544313,37.6573618085,"0"
"109000133","10218",북서울교회,127.0135770292,37.6572640552,"0"
"109000134","10219",서라벌중학교.우이동대우아파트,127.0129604065,37.6545330345,"8"
"109000135","10221",덕성여대입구,127.013047384,37.6510361601,"0"
"109000136","10222",쌍문초등학교,127.0256057419,37.6470136735,"0"
"109000137","10223",쌍문초등학교,127.0254480184,37.6470057113,"0"
"109000138","10224",숭미초등학교,127.0279081429,37.6496671726,"0"
"109000139","10225",숭미초등학교,127.0280523656,37.6500225857,"0"
"109000140","10226",둘리뮤지엄.대우이안극동아파트,127.0283915111,37.6517654636,"0"
"109000141","10227",둘리뮤지엄.대우이안극동아파트,127.0284159497,37.651364922,"0"
"109000142","10228",창동주공1단지,127.0409136841,37.654255726,"0"
"109000143","10229",창동주공1단지아파트,127.0410897502,37.6533068793,"0"
"109000145","10231",서울북부지방법원등기국,127.0446565809,37.6511772527,"0"
"109000146","10232",서울북부지방법원등기국,127.0445163037,37.6513321996,"0"
"109000148","10234",창동역서측,127.0461766065,37.6523489759,"1"
"109000149","10235",창4동주민센터,127.0526109755,37.6526701618,"0"
"109000150","10236",창4동주민센터,127.0520315679,37.6526573124,"0"
"109000155","10241",창동주공4단지,127.0485928,37.6452405833,"0"
"109000156","10242",창동주공4단지,127.0480961155,37.6452486932,"0"
"109000158","10244",도봉문화정보도서관,127.0441882865,37.6440947414,"0"
"109000159","10245",도봉문화정보도서관,127.0440758618,37.6441524685,"0"
"109000160","10246",창림초교창동신창아파트앞,127.04099,37.641567,"0"
"109000161","10247",창림초교창동신창아파트앞,127.0408271443,37.6415570823,"0"
"109000162","10248",국립현대미술관창동레지던시,127.0393592403,37.6398990161,"2"
"109000163","10249",국립현대미술관창동레지던시,127.0395428755,37.6402538768,"2"
"109000164","10250",창동서울탁주앞,127.0372707785,37.6376740804,"0"
"109000165","10251",창동서울탁주앞,127.0370048364,37.6375444005,"0"
"109000166","10252",창2동주민센터.보건지소,127.033607,37.64089,"0"
