field_1,code,cafe_nm,gu_code,gu,dong_cd,dong,gibun,road,lng,lat,year,NUMPOINTS,HubName,HubDist,cafe_cd
"21","23288567",스타벅스,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 851-1,서울특별시 서초구 방배로,126.99245761598,37.4900145248382,"2018","5",내방역,219.767748150289,"1"
"22","23514101",스타벅스이수역점,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 3000-1,서울특별시 서초구 동작대로,126.982689936644,37.4864978042431,"2018","5",이수역,199.308554141356,"1"
"23","20014593",스타벅스방배카페입구,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로,126.985676893834,37.4972370082012,"2018","2",구반포역,491.765888993123,"1"
"24","20026883",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 51,서울특별시 강남구 삼성로,127.052704674305,37.5134718899824,"2018","2",중앙역,421.751409779768,"1"
"25","20014851",스타벅스,"11680",강남구,"1168011500",수서동,서울특별시 강남구 수서동 713,서울특별시 강남구 밤고개로1길,127.101842066177,37.4880133628924,"2018","7",수서역,114.536613481544,"1"
"26","23482258",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 238-5,서울특별시 강남구 언주로,127.035741342646,37.5149114670439,"2018","5",학동역,357.766035203998,"1"
"27","20016436",스타벅스,"11305",강북구,"1130510200",번동,서울특별시 강북구 번동 418-17,서울특별시 강북구 도봉로,127.026107842176,37.6380230767307,"2018","8",수유역,575.766051140368,"1"
"28","20291002",스타벅스중계역점,"11350",노원구,"1135010500",상계동,서울특별시 노원구 상계동 763-3,서울특별시 노원구 동일로,127.06215871021,37.6481544698442,"2018","4",노원역,607.004917660303,"1"
"29","20831001",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 735-3,서울특별시 강남구 테헤란로,127.033792423212,37.4993703754632,"2018","1",동오역,155.47042066024,"1"
"30","20010719",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 92-1,서울특별시 서초구 서래로,126.998542320991,37.4992570081851,"2018","5",신반포역,493.829479908119,"1"
"31","20385995",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 736-1,서울특별시 강남구 테헤란로,127.034941231236,37.4997401884001,"2018","2",동오역,71.7326546133971,"1"
"32","23220273",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 748-1,서울특별시 서초구 강남대로,127.023626959081,37.5053148456229,"2018","5",신논현역,757.827380991377,"1"
"33","23210644",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1464-22,서울특별시 서초구 남부순환로,127.012347140463,37.4806673259512,"2018","3",남부터미널역,715.453086144075,"1"
"34","20015708",스타벅스남부터미널2점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1457-1,서울특별시 서초구 효령로,127.014197798445,37.4843861241449,"2018","4",남부터미널역,271.455968677929,"1"
"35","23517515",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 118-3,서울특별시 서초구 사평대로,127.007826111215,37.5044803619627,"2018","0",고속터미널역,262.347100459302,"1"
"36","22934175",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 529-10,서울특별시 강남구 논현로175길,127.021629292234,37.5231842055575,"2018","2",신사역,468.307000524995,"1"
"37","20385969",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 70-1,서울특별시 서초구 잠원로,127.006957982903,37.5102488124166,"2018","4",반포역,482.277663425877,"1"
"38","23224039",스타벅스,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 52-1,서울특별시 강남구 도산대로,127.051571721037,37.5243385164378,"2018","1",청담역,680.195523057992,"1"
"39","20430267",스타벅스논현힐탑,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255003449,37.5115850987019,"2018","2",학동역,304.130925346504,"1"
"40","20482725",스타벅스,"11680",강남구,"1168010300",개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.045116281379,37.4778100339866,"2018","5",매봉역,1029.50217282141,"1"
"41","20803626",스타벅스삼성도심공항점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 154-10,서울특별시 강남구 테헤란로87길,127.057908690998,37.5098191857712,"2018","0",봉은사역,725.243159849156,"1"
"42","25292064",스타벅스선정릉역점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 37-17,서울특별시 강남구 봉은사로,127.044549435311,37.5107751239617,"2018","2",선정릉역,26.9466719256089,"1"
"43","20028664",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로,127.030745538681,37.5146002603752,"2018","5",학동역,96.4758743966253,"1"
"44","20028264",스타벅스,"11350",노원구,"1135010600",중계동,서울특별시 노원구 중계동 360-6,서울특별시 노원구 중계로,127.075977431142,37.6504980859283,"2018","4",상계역,1192.23378490115,"1"
"45","20248022",스타벅스미아역점,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 121-19,서울특별시 강북구 도봉로,127.026557543462,37.626133124926,"2018","5",미아역,401.643996237933,"1"
"46","20028995",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 942-5,서울특별시 강남구 삼성로86길,127.057925714358,37.5057645704233,"2018","0",한티역,918.658795829581,"1"
"47","20286267",스타벅스선릉로점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 697-45,서울특별시 강남구 선릉로93길,127.046716041969,37.5049537931293,"2018","0",선릉역,249.664697912198,"1"
"48","20308953",스타벅스,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 104-30,서울특별시 성북구 인촌로24길,127.029688991151,37.58391819363,"2018","2",안암역,243.59490186324,"1"
"49","20307826",스타벅스역삼럭키,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.039391664754,37.4922256105997,"2018","2",동오역,856.782316357597,"1"
"50","20282898",스타벅스,"11350",노원구,"1135010500",상계동,서울특별시 노원구 상계동 712,서울특별시 노원구 동일로,127.060001689909,37.6547599052796,"2018","1",노원역,155.665648030421,"1"
"51","20017045",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 679,서울특별시 강남구 논현로,127.037277378321,37.5018857412981,"2018","3",동오역,323.943033009741,"1"
"52","23197283",스타벅스교대역점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1693-3,서울특별시 서초구 서초중앙로,127.01395530164,37.4942326373696,"2018","5",교대역,311.616541549126,"1"
"53","22580385",스타벅스삼성교점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 1001-8,서울특별시 강남구 영동대로86길,127.065172799171,37.5078134808243,"2018","3",봉은사역,791.102227933402,"1"
"54","23498986",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 37-7,서울특별시 서초구 강남대로,127.020627628152,37.5115343141544,"2018","2",신사역,913.506086131595,"1"
"55","6660863",스타벅스커리학동사거리점,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 93-2,서울특별시 강남구 도산대로,127.037952943537,37.5223902189029,"2018","2",압구정로데오역,835.818299919429,"1"
"56","20680170",스타벅스서울교대점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1623-1,서울특별시 서초구 서초중앙로,127.015152866623,37.4874306484335,"2018","3",남부터미널역,88.762742432669,"1"
"57","20010511",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1657-5,서울특별시 서초구 서초중앙로,127.014217033954,37.4923876590647,"2018","2",교대역,394.314378170907,"1"
"58","20388439",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 708-6,서울특별시 강남구 테헤란로,127.048515927976,37.5039411013992,"2018","0",선릉역,91.6173989238969,"1"
"59","23312129",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 52-6,서울특별시 서초구 서초중앙로,127.011539185408,37.5016551524635,"2018","5",사평역,366.11034426415,"1"
"60","25240856",스타벅스강북구청사거리점,"11305",강북구,"1130510300",수유동,서울특별시 강북구 수유동 174-13,서울특별시 강북구 도봉로,127.02732798436,37.6400334380793,"2018","7",수유역,623.306505759805,"1"
"61","23311558",스타벅스청담사거리점,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 6-5,서울특별시 강남구 도산대로,127.046850137088,37.5237598736832,"2018","2",강남구청역,616.756286482623,"1"
"62","23248292",스타벅스방이역점,"11710",송파구,"1171011200",오금동,서울특별시 송파구 오금동 17-8,서울특별시 송파구 마천로,127.126638532343,37.5085452424071,"2018","3",방이역,119.228993630665,"1"
"63","20691915",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로,127.027896853364,37.5240469060232,"2018","2",압구정역,67.5234867705169,"1"
"64","23196601",스타벅스서초파라곤점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.027403494967,37.494938817542,"2018","3",강남역,409.67875784941,"1"
"65","20378251",스타벅스신압구정점,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 639-7,서울특별시 강남구 언주로174길,127.036420025086,37.5281084112342,"2018","2",압구정로데오역,453.338203784823,"1"
"66","23454449",스타벅스,"11650",서초구,"1165010200",양재동,서울특별시 서초구 양재동 14-4,서울특별시 서초구 강남대로,127.036850060857,37.4823203167867,"2018","4",양재역,410.562491531069,"1"
"67","23513141",스타벅스올림픽공원남문점,"11710",송파구,"1171011100",방이동,서울특별시 송파구 방이동 181,서울특별시 송파구 위례성대로,127.122996982138,37.5133299197545,"2018","1",방이역,627.355222065377,"1"
"68","20007418",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.025481611828,37.5001130565393,"2018","9",신논현역,929.573158994323,"1"
"69","20691462",스타벅스,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 908-10,서울특별시 서초구 방배로,126.997630905934,37.4819850802876,"2018","10",방배역,93.6728899928899,"1"
"70","19984883",스타벅스,"11710",송파구,"1171010100",잠실동,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로,127.094467266876,37.5106637669365,"2018","0",잠실새내역,473.248623461111,"1"
"71","20012839",스타벅스예술의전당점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1451-95,서울특별시 서초구 남부순환로323길,127.013483063726,37.4811273444246,"2018","4",남부터미널역,634.965213009211,"1"
"72","20484259",스타벅스학여울점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 994-10,서울특별시 강남구 영동대로,127.068507100293,37.4979912661689,"2018","2",학여울역,324.732673839134,"1"
"73","25313530",스타벅스사당로데오점,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 444-7,서울특별시 서초구 방배천로,126.982147054224,37.4773384162976,"2018","8",사당역,262.100590700277,"1"
"74","23186849",스타벅스신천역점,"11710",송파구,"1171010100",잠실동,서울특별시 송파구 잠실동 181,서울특별시 송파구 올림픽로,127.081200820667,37.5114533637489,"2018","0",종합운동장역,611.003503038734,"1"
"75","8730737",스타벅스가든파이브,"11710",송파구,"1171010800",문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.119370608348,37.4782606521025,"2018","2",장지역,645.99949005523,"1"
"76","8735684",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.040652567424,37.5023907598919,"2018","0",역삼역,169.688491613159,"1"
"77","8736083",스타벅스차병원사거리점,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.035354656802,37.5080422802738,"2018","2",언주역,243.035544290978,"1"
"78","25285303",스타벅스,"11290",성북구,"1129013500",종암동,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.034276237521,37.6013098726705,"2018","3",월곡역,633.759331704165,"1"
"79","8732182",스타벅스뱅뱅사거리점,"11680",강남구,"1168011800",도곡동,서울특별시 강남구 도곡동 946-14,서울특별시 강남구 강남대로,127.032473020123,37.4885559134485,"2018","5",양재역,426.262938917817,"1"
"80","8736085",스타벅스경복아파트점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 681,서울특별시 강남구 봉은사로,127.040352822046,37.5090200893742,"2018","2",선정릉역,412.771447804956,"1"
"81","8729351",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 809-10,서울특별시 강남구 강남대로,127.025555471117,37.5031321984073,"2018","9",신논현역,693.84226513611,"1"
"82","26261077",스타벅스,"11710",송파구,"1171010700",가락동,서울특별시 송파구 가락동 97-7,서울특별시 송파구 송파대로30길,127.118768373869,37.4948807737535,"2018","0",가락시장역,223.520075421259,"1"
"83","8725994",스타벅스,"11290",성북구,"1129013400",길음동,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로,127.028725560472,37.6083915431599,"2018","4",길음역,670.510507528425,"1"
"84","8732314",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 678-39,서울특별시 강남구 테헤란로,127.039222819099,37.5018745487421,"2018","2",역삼역,165.467113196846,"1"
"85","23447206",스타벅스석촌서호점,"11710",송파구,"1171010600",삼전동,서울특별시 송파구 삼전동 130-2,서울특별시 송파구 석촌호수로,127.096611664662,37.5063641179998,"2018","0",석촌고분역,352.353706423593,"1"
"86","25456593",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1445-4,서울특별시 서초구 서초중앙로,127.0169304208,37.484670199789,"2018","9",남부터미널역,259.660577381884,"1"
"87","9780390",스타벅스월계이마트점,"11350",노원구,"1135010200",월계동,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길,127.061966366957,37.6265010290164,"2018","0",광운대역,343.603079555395,"1"
"88","11516500",스타벅스,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 126-1,서울특별시 성북구 인촌로,127.026341469346,37.5870983380348,"2018","4",안암역,292.334808156477,"1"
"89","20025735",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 747-21,서울특별시 강남구 논현로,127.038880731616,37.4959157868406,"2018","3",동오역,478.426970288728,"1"
"90","23316524",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1317-23,서울특별시 서초구 서초대로,127.025903621913,37.4980981742341,"2018","5",강남역,766.044548728402,"1"
"91","20828526",스타벅스,"11350",노원구,"1135010300",공릉동,서울특별시 노원구 공릉동 126,서울특별시 노원구 화랑로,127.088969020253,37.6287759891336,"2018","0",화랑대역,1104.2115400146,"1"
"92","20005051",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 나루터로4길,127.013448018261,37.5095823555688,"2018","0",반포역,201.655264352141,"1"
"93","20017739",스타벅스,"11680",강남구,"1168011800",도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길,127.054163435442,37.4892992237675,"2018","2",도곡역,171.161761336418,"1"
"94","20424762",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 826-26,서울특별시 강남구 테헤란로2길,127.029679239432,37.4964803158248,"2018","3",강남역,466.384715618763,"1"
"95","20025300",스타벅스역삼역점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 646-15,서울특별시 강남구 테헤란로,127.035177610748,37.5007062485243,"2018","1",동오역,158.169998893235,"1"
"96","25585003",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 5-1,서울특별시 강남구 도산대로,127.023368467937,37.5173417649322,"2018","0",신사역,479.266333007756,"1"
"97","20028687",스타벅스대치점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 988-17,서울특별시 강남구 도곡로,127.062221296007,37.4996265116081,"2018","1",대치역,573.785600250734,"1"
"98","23213262",스타벅스석촌호수점,"11710",송파구,"1171010400",송파동,서울특별시 송파구 송파동 7-4,서울특별시 송파구 석촌호수로,127.105216364301,37.5094301379565,"2018","0",잠실역,585.354400595788,"1"
"99","20389762",스타벅스광운대점,"11350",노원구,"1135010200",월계동,서울특별시 노원구 월계동 410-1,서울특별시 노원구 석계로,127.060705412335,37.6231751762071,"2018","6",광운대역,140.734713280564,"1"
"100","20295450",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1699-3,서울특별시 서초구 서초중앙로,127.013361956833,37.4963541721937,"2018","2",교대역,390.724246406058,"1"
"101","20023633",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 144-25,서울특별시 강남구 테헤란로,127.055580896323,37.5069442507099,"2018","4",선릉역,766.354806175436,"1"
"102","25694521",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로,127.00239321346,37.5039300142165,"2018","3",고속터미널역,243.538210415856,"1"
"103","20880708",스타벅스잠실점,"11710",송파구,"1171010200",신천동,서울특별시 송파구 신천동 11-4,서울특별시 송파구 올림픽로35가길,127.103446561974,37.5174361339672,"2018","1",잠실나루역,204.884301737712,"1"
"104","20088322",스타벅스한성대입구역점,"11290",성북구,"1129010200",성북동1가,서울특별시 성북구 성북동1가 35-1,서울특별시 성북구 성북로,127.004904251791,37.5890460115547,"2018","5",한성대입구역,252.455200341699,"1"
"105","25274618",스타벅스송파사거리점,"11710",송파구,"1171010400",송파동,서울특별시 송파구 송파동 96-7,서울특별시 송파구 송파대로,127.110334770409,37.502269334236,"2018","2",석촌역,127.563952079036,"1"
"106","23208222",스타벅스,"11320",도봉구,"1132010700",창동,서울특별시 도봉구 창동 659-5,서울특별시 도봉구 도봉로,127.034868675382,37.6483488366145,"2018","5",쌍문역,81.1350185447571,"1"
"107","20389010",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 701-7,서울특별시 강남구 테헤란로,127.043762069759,37.5033350490038,"2018","2",역삼역,391.964498193076,"1"
"108","22800473",스타벅스노원케이티점,"11350",노원구,"1135010500",상계동,서울특별시 노원구 상계동 723,서울특별시 노원구 노해로,127.063825860056,37.6543668305308,"2018","3",노원역,280.941433565167,"1"
"109","20009577",스타벅스,"11650",서초구,"1165010200",양재동,서울특별시 서초구 양재동 4-3,서울특별시 서초구 논현로,127.042575597088,37.4819884081853,"2018","6",매봉역,664.881576584621,"1"
"110","20699038",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 635-13,서울특별시 강남구 압구정로42길,127.034716758462,37.5268330299984,"2018","0",압구정로데오역,647.436949328859,"1"
"111","25729943",스타벅스,"11680",강남구,"1168011400",일원동,서울특별시 강남구 일원동 50,서울특별시 강남구 일원로,127.089578831632,37.4903343408695,"2018","0",일원역,835.819747329681,"1"
"112","25744200",스타벅스코엑스사거리점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 91-31,서울특별시 강남구 영동대로,127.060193379989,37.5152437173541,"2018","2",봉은사역,275.56008250304,"1"
"113","25846799",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 157,서울특별시 강남구 삼성로,127.056219039363,37.5083640085869,"2018","3",중앙역,771.685402633689,"1"
"114","25730277",스타벅스고대프라자점,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 인촌로,127.030957744251,37.5864875767796,"2018","4",안암역,143.688888106488,"1"
"115","25683194",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 70-2,서울특별시 서초구 잠원로,127.007423858098,37.5092345394587,"2018","3",반포역,403.414401907814,"1"
"116","25742491",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로,127.048406096675,37.4992276933378,"2018","2",한티역,281.597189283187,"1"
"117","25808541",스타벅스강남에비뉴점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1303-16,서울특별시 서초구 서초대로77길,127.023886925474,37.502721958552,"2018","4",신논현역,842.526614932862,"1"
"118","25797473",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 679-4,서울특별시 강남구 테헤란로,127.037733772702,37.5015740906142,"2018","4",역삼역,265.201921488029,"1"
"119","25902757",스타벅스압구정로데오역점,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.040513119755,37.5265378643378,"2018","0",압구정로데오역,329.273201151586,"1"
"120","23498613",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 651,서울특별시 강남구 남부순환로,127.057395337984,37.4921723983972,"2018","3",도곡역,271.542093564387,"1"
"121","20681728",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 889-70,서울특별시 강남구 테헤란로64길,127.0511760602,37.5037642661984,"2018","3",선릉역,258.894003884875,"1"
"122","25901259",스타벅스방배카페입구점,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로,126.985676893834,37.4972370082012,"2018","2",구반포역,491.765888993123,"1"
"123","20014581",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로,127.059139102428,37.5118203253706,"2018","0",봉은사역,489.853750816121,"1"
"124","23784909",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 59-8,서울특별시 강남구 논현로,127.028627805482,37.5191511988017,"2018","2",압구정역,488.078229365887,"1"
"125","11707694",스타벅스종암점,"11290",성북구,"1129013500",종암동,서울특별시 성북구 종암동 3-686,서울특별시 성북구 종암로,127.033983452137,37.6011813308853,"2018","3",월곡역,660.764638660176,"1"
"126","25637642",스타벅스,"11710",송파구,"1171010700",가락동,서울특별시 송파구 가락동 125-6,서울특별시 송파구 동남로,127.126233039197,37.4918996397466,"2018","2",문정역,619.335219902433,"1"
"127","28520216",스타벅스미아사거리역점,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 35-30,서울특별시 강북구 도봉로,127.030685494292,37.6118406150505,"2018","6",미아사거리역,355.394621852845,"1"
"128","11757465",스타벅스,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 812-2,서울특별시 서초구 방배로,126.99050928001,37.4919441682448,"2018","5",내방역,486.522134238721,"1"
"129","11765466",스타벅스포스코사거리점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 157-36,서울특별시 강남구 테헤란로,127.057428066223,37.5075627123392,"2018","3",봉은사역,951.950606235058,"1"
"130","11798770",스타벅스역삼럭키점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.039391664754,37.4922256105997,"2018","2",동오역,856.782316357597,"1"
"131","12064739",스타벅스,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 812-2,서울특별시 강북구 삼양로,127.021108114965,37.6183841817231,"2018","5",삼양사거리역,334.001231303753,"1"
