field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,HubName,HubDist
"43","20028664",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로,127.030745538681,37.5146002603752,"2018",학동역,96.4758743966253
"44","20028264",스타벅스,"11350",노원구,"1135010600",중계동,서울특별시 노원구 중계동 360-6,서울특별시 노원구 중계로,127.075977431142,37.6504980859283,"2018",상계역,1192.23378490115
"45","20248022",스타벅스미아역점,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 121-19,서울특별시 강북구 도봉로,127.026557543462,37.626133124926,"2018",미아역,401.643996237933
"46","20028995",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 942-5,서울특별시 강남구 삼성로86길,127.057925714358,37.5057645704233,"2018",한티역,918.658795829581
"47","20286267",스타벅스선릉로점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 697-45,서울특별시 강남구 선릉로93길,127.046716041969,37.5049537931293,"2018",선릉역,249.664697912198
"48","20308953",스타벅스,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 104-30,서울특별시 성북구 인촌로24길,127.029688991151,37.58391819363,"2018",안암역,243.59490186324
"49","20307826",스타벅스역삼럭키,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.039391664754,37.4922256105997,"2018",동오역,856.782316357597
"50","20282898",스타벅스,"11350",노원구,"1135010500",상계동,서울특별시 노원구 상계동 712,서울특별시 노원구 동일로,127.060001689909,37.6547599052796,"2018",노원역,155.665648030421
"51","20017045",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 679,서울특별시 강남구 논현로,127.037277378321,37.5018857412981,"2018",동오역,323.943033009741
"52","23197283",스타벅스교대역점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1693-3,서울특별시 서초구 서초중앙로,127.01395530164,37.4942326373696,"2018",교대역,311.616541549126
"53","22580385",스타벅스삼성교점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 1001-8,서울특별시 강남구 영동대로86길,127.065172799171,37.5078134808243,"2018",봉은사역,791.102227933402
"54","23498986",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 37-7,서울특별시 서초구 강남대로,127.020627628152,37.5115343141544,"2018",신사역,913.506086131595
"55","6660863",스타벅스커리학동사거리점,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 93-2,서울특별시 강남구 도산대로,127.037952943537,37.5223902189029,"2018",압구정로데오역,835.818299919429
"56","20680170",스타벅스서울교대점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1623-1,서울특별시 서초구 서초중앙로,127.015152866623,37.4874306484335,"2018",남부터미널역,88.762742432669
"57","20010511",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1657-5,서울특별시 서초구 서초중앙로,127.014217033954,37.4923876590647,"2018",교대역,394.314378170907
"58","20388439",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 708-6,서울특별시 강남구 테헤란로,127.048515927976,37.5039411013992,"2018",선릉역,91.6173989238969
"59","23312129",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 52-6,서울특별시 서초구 서초중앙로,127.011539185408,37.5016551524635,"2018",사평역,366.11034426415
"60","25240856",스타벅스강북구청사거리점,"11305",강북구,"1130510300",수유동,서울특별시 강북구 수유동 174-13,서울특별시 강북구 도봉로,127.02732798436,37.6400334380793,"2018",수유역,623.306505759805
"61","23311558",스타벅스청담사거리점,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 6-5,서울특별시 강남구 도산대로,127.046850137088,37.5237598736832,"2018",강남구청역,616.756286482623
"62","23248292",스타벅스방이역점,"11710",송파구,"1171011200",오금동,서울특별시 송파구 오금동 17-8,서울특별시 송파구 마천로,127.126638532343,37.5085452424071,"2018",방이역,119.228993630665
"63","20691915",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로,127.027896853364,37.5240469060232,"2018",압구정역,67.5234867705169
"64","23196601",스타벅스서초파라곤점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.027403494967,37.494938817542,"2018",강남역,409.67875784941
"65","20378251",스타벅스신압구정점,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 639-7,서울특별시 강남구 언주로174길,127.036420025086,37.5281084112342,"2018",압구정로데오역,453.338203784823
"66","23454449",스타벅스,"11650",서초구,"1165010200",양재동,서울특별시 서초구 양재동 14-4,서울특별시 서초구 강남대로,127.036850060857,37.4823203167867,"2018",양재역,410.562491531069
"67","23513141",스타벅스올림픽공원남문점,"11710",송파구,"1171011100",방이동,서울특별시 송파구 방이동 181,서울특별시 송파구 위례성대로,127.122996982138,37.5133299197545,"2018",방이역,627.355222065377
"68","20007418",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.025481611828,37.5001130565393,"2018",신논현역,929.573158994323
"69","20691462",스타벅스,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 908-10,서울특별시 서초구 방배로,126.997630905934,37.4819850802876,"2018",방배역,93.6728899928899
"70","19984883",스타벅스,"11710",송파구,"1171010100",잠실동,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로,127.094467266876,37.5106637669365,"2018",잠실새내역,473.248623461111
"71","20012839",스타벅스예술의전당점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1451-95,서울특별시 서초구 남부순환로323길,127.013483063726,37.4811273444246,"2018",남부터미널역,634.965213009211
"72","20484259",스타벅스학여울점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 994-10,서울특별시 강남구 영동대로,127.068507100293,37.4979912661689,"2018",학여울역,324.732673839134
"73","25313530",스타벅스사당로데오점,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 444-7,서울특별시 서초구 방배천로,126.982147054224,37.4773384162976,"2018",사당역,262.100590700277
"74","23186849",스타벅스신천역점,"11710",송파구,"1171010100",잠실동,서울특별시 송파구 잠실동 181,서울특별시 송파구 올림픽로,127.081200820667,37.5114533637489,"2018",종합운동장역,611.003503038734
"75","8730737",스타벅스가든파이브,"11710",송파구,"1171010800",문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.119370608348,37.4782606521025,"2018",장지역,645.99949005523
"76","8735684",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.040652567424,37.5023907598919,"2018",역삼역,169.688491613159
"77","8736083",스타벅스차병원사거리점,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.035354656802,37.5080422802738,"2018",언주역,243.035544290978
"78","25285303",스타벅스,"11290",성북구,"1129013500",종암동,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.034276237521,37.6013098726705,"2018",월곡역,633.759331704165
"79","8732182",스타벅스뱅뱅사거리점,"11680",강남구,"1168011800",도곡동,서울특별시 강남구 도곡동 946-14,서울특별시 강남구 강남대로,127.032473020123,37.4885559134485,"2018",양재역,426.262938917817
"80","8736085",스타벅스경복아파트점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 681,서울특별시 강남구 봉은사로,127.040352822046,37.5090200893742,"2018",선정릉역,412.771447804956
"81","8729351",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 809-10,서울특별시 강남구 강남대로,127.025555471117,37.5031321984073,"2018",신논현역,693.84226513611
"82","26261077",스타벅스,"11710",송파구,"1171010700",가락동,서울특별시 송파구 가락동 97-7,서울특별시 송파구 송파대로30길,127.118768373869,37.4948807737535,"2018",가락시장역,223.520075421259
"83","8725994",스타벅스,"11290",성북구,"1129013400",길음동,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로,127.028725560472,37.6083915431599,"2018",길음역,670.510507528425
"84","8732314",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 678-39,서울특별시 강남구 테헤란로,127.039222819099,37.5018745487421,"2018",역삼역,165.467113196846
"85","23447206",스타벅스석촌서호점,"11710",송파구,"1171010600",삼전동,서울특별시 송파구 삼전동 130-2,서울특별시 송파구 석촌호수로,127.096611664662,37.5063641179998,"2018",석촌고분역,352.353706423593
"86","25456593",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1445-4,서울특별시 서초구 서초중앙로,127.0169304208,37.484670199789,"2018",남부터미널역,259.660577381884
"87","9780390",스타벅스월계이마트점,"11350",노원구,"1135010200",월계동,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길,127.061966366957,37.6265010290164,"2018",광운대역,343.603079555395
"88","11516500",스타벅스,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 126-1,서울특별시 성북구 인촌로,127.026341469346,37.5870983380348,"2018",안암역,292.334808156477
"89","20025735",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 747-21,서울특별시 강남구 논현로,127.038880731616,37.4959157868406,"2018",동오역,478.426970288728
"90","23316524",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1317-23,서울특별시 서초구 서초대로,127.025903621913,37.4980981742341,"2018",강남역,766.044548728402
