field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,NUMPOINTS
"69","20691462",스타벅스,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 908-10,서울특별시 서초구 방배로,126.997630905934,37.4819850802876,"2018","29"
"70","19984883",스타벅스,"11710",송파구,"1171010100",잠실동,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로,127.094467266876,37.5106637669365,"2018","12"
"71","20012839",스타벅스예술의전당점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1451-95,서울특별시 서초구 남부순환로323길,127.013483063726,37.4811273444246,"2018","22"
"72","20484259",스타벅스학여울점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 994-10,서울특별시 강남구 영동대로,127.068507100293,37.4979912661689,"2018","12"
"73","25313530",스타벅스사당로데오점,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 444-7,서울특별시 서초구 방배천로,126.982147054224,37.4773384162976,"2018","22"
"74","23186849",스타벅스신천역점,"11710",송파구,"1171010100",잠실동,서울특별시 송파구 잠실동 181,서울특별시 송파구 올림픽로,127.081200820667,37.5114533637489,"2018","7"
"75","8730737",스타벅스가든파이브,"11710",송파구,"1171010800",문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.119370608348,37.4782606521025,"2018","6"
"76","8735684",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.040652567424,37.5023907598919,"2018","11"
"77","8736083",스타벅스차병원사거리점,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.035354656802,37.5080422802738,"2018","17"
"78","25285303",스타벅스,"11290",성북구,"1129013500",종암동,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.034276237521,37.6013098726705,"2018","31"
"79","8732182",스타벅스뱅뱅사거리점,"11680",강남구,"1168011800",도곡동,서울특별시 강남구 도곡동 946-14,서울특별시 강남구 강남대로,127.032473020123,37.4885559134485,"2018","25"
"80","8736085",스타벅스경복아파트점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 681,서울특별시 강남구 봉은사로,127.040352822046,37.5090200893742,"2018","15"
"81","8729351",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 809-10,서울특별시 강남구 강남대로,127.025555471117,37.5031321984073,"2018","35"
"82","26261077",스타벅스,"11710",송파구,"1171010700",가락동,서울특별시 송파구 가락동 97-7,서울특별시 송파구 송파대로30길,127.118768373869,37.4948807737535,"2018","22"
"83","8725994",스타벅스,"11290",성북구,"1129013400",길음동,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로,127.028725560472,37.6083915431599,"2018","28"
"84","8732314",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 678-39,서울특별시 강남구 테헤란로,127.039222819099,37.5018745487421,"2018","10"
"85","23447206",스타벅스석촌서호점,"11710",송파구,"1171010600",삼전동,서울특별시 송파구 삼전동 130-2,서울특별시 송파구 석촌호수로,127.096611664662,37.5063641179998,"2018","10"
"86","25456593",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1445-4,서울특별시 서초구 서초중앙로,127.0169304208,37.484670199789,"2018","26"
"87","9780390",스타벅스월계이마트점,"11350",노원구,"1135010200",월계동,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길,127.061966366957,37.6265010290164,"2018","14"
"88","11516500",스타벅스,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 126-1,서울특별시 성북구 인촌로,127.026341469346,37.5870983380348,"2018","18"
"89","20025735",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 747-21,서울특별시 강남구 논현로,127.038880731616,37.4959157868406,"2018","12"
"90","23316524",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1317-23,서울특별시 서초구 서초대로,127.025903621913,37.4980981742341,"2018","46"
"91","20828526",스타벅스,"11350",노원구,"1135010300",공릉동,서울특별시 노원구 공릉동 126,서울특별시 노원구 화랑로,127.088969020253,37.6287759891336,"2018","4"
"92","20005051",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 나루터로4길,127.013448018261,37.5095823555688,"2018","8"
"93","20017739",스타벅스,"11680",강남구,"1168011800",도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길,127.054163435442,37.4892992237675,"2018","14"
"94","20424762",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 826-26,서울특별시 강남구 테헤란로2길,127.029679239432,37.4964803158248,"2018","35"
"95","20025300",스타벅스역삼역점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 646-15,서울특별시 강남구 테헤란로,127.035177610748,37.5007062485243,"2018","9"
"96","25585003",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 5-1,서울특별시 강남구 도산대로,127.023368467937,37.5173417649322,"2018","12"
"97","20028687",스타벅스대치점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 988-17,서울특별시 강남구 도곡로,127.062221296007,37.4996265116081,"2018","12"
"98","23213262",스타벅스석촌호수점,"11710",송파구,"1171010400",송파동,서울특별시 송파구 송파동 7-4,서울특별시 송파구 석촌호수로,127.105216364301,37.5094301379565,"2018","9"
"99","20389762",스타벅스광운대점,"11350",노원구,"1135010200",월계동,서울특별시 노원구 월계동 410-1,서울특별시 노원구 석계로,127.060705412335,37.6231751762071,"2018","10"
"100","20295450",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1699-3,서울특별시 서초구 서초중앙로,127.013361956833,37.4963541721937,"2018","18"
"101","20023633",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 144-25,서울특별시 강남구 테헤란로,127.055580896323,37.5069442507099,"2018","14"
"102","25694521",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로,127.00239321346,37.5039300142165,"2018","20"
"103","20880708",스타벅스잠실점,"11710",송파구,"1171010200",신천동,서울특별시 송파구 신천동 11-4,서울특별시 송파구 올림픽로35가길,127.103446561974,37.5174361339672,"2018","8"
"104","20088322",스타벅스한성대입구역점,"11290",성북구,"1129010200",성북동1가,서울특별시 성북구 성북동1가 35-1,서울특별시 성북구 성북로,127.004904251791,37.5890460115547,"2018","22"
"105","25274618",스타벅스송파사거리점,"11710",송파구,"1171010400",송파동,서울특별시 송파구 송파동 96-7,서울특별시 송파구 송파대로,127.110334770409,37.502269334236,"2018","16"
"106","23208222",스타벅스,"11320",도봉구,"1132010700",창동,서울특별시 도봉구 창동 659-5,서울특별시 도봉구 도봉로,127.034868675382,37.6483488366145,"2018","25"
"107","20389010",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 701-7,서울특별시 강남구 테헤란로,127.043762069759,37.5033350490038,"2018","6"
"108","22800473",스타벅스노원케이티점,"11350",노원구,"1135010500",상계동,서울특별시 노원구 상계동 723,서울특별시 노원구 노해로,127.063825860056,37.6543668305308,"2018","29"
"109","20009577",스타벅스,"11650",서초구,"1165010200",양재동,서울특별시 서초구 양재동 4-3,서울특별시 서초구 논현로,127.042575597088,37.4819884081853,"2018","23"
"110","20699038",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 635-13,서울특별시 강남구 압구정로42길,127.034716758462,37.5268330299984,"2018","13"
"111","25729943",스타벅스,"11680",강남구,"1168011400",일원동,서울특별시 강남구 일원동 50,서울특별시 강남구 일원로,127.089578831632,37.4903343408695,"2018","10"
"112","25744200",스타벅스코엑스사거리점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 91-31,서울특별시 강남구 영동대로,127.060193379989,37.5152437173541,"2018","12"
"113","25846799",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 157,서울특별시 강남구 삼성로,127.056219039363,37.5083640085869,"2018","9"
"114","25730277",스타벅스고대프라자점,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 인촌로,127.030957744251,37.5864875767796,"2018","21"
"115","25683194",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 70-2,서울특별시 서초구 잠원로,127.007423858098,37.5092345394587,"2018","19"
"116","25742491",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로,127.048406096675,37.4992276933378,"2018","25"
"117","25808541",스타벅스강남에비뉴점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1303-16,서울특별시 서초구 서초대로77길,127.023886925474,37.502721958552,"2018","38"
"118","25797473",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 679-4,서울특별시 강남구 테헤란로,127.037733772702,37.5015740906142,"2018","8"
"119","25902757",스타벅스압구정로데오역점,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.040513119755,37.5265378643378,"2018","14"
