field_1,code,cafe_nm,gu_code,gu,dong_cd,dong,gibun,road,lng,lat,year,NUMPOINTS,HubName,HubDist,cafe_cd,star,coffee,paul,mega,paik,com,high,low,total
16,20607525,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 507,서울특별시 강남구 남부순환로,127.0619041,37.49334362,2018,4,대치역,177.3609075,1,39,48,3,6,6,2,90,14,104
17,20093795,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 175,서울특별시 송파구 백제고분로,127.0790291,37.51052638,2018,3,종합운동장역,422.6885766,1,9,9,3,1,4,0,21,5,26
18,23310463,스타벅스,11290,성북구,1129010500,동소문동2가,서울특별시 성북구 동소문동2가 11,서울특별시 성북구 동소문로,127.0073203,37.58872396,2018,5,한성대입구역,42.58094564,1,3,0,0,0,0,0,3,0,3
19,20600882,스타벅스,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7-17,서울특별시 송파구 송파대로,127.0995353,37.51532494,2018,4,잠실역,263.7443032,1,13,4,0,0,6,4,17,11,28
20,19993461,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 안암로,127.0317018,37.58848499,2018,0,안암역,333.3844977,1,15,8,0,3,2,0,23,5,28
21,23288567,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 851-1,서울특별시 서초구 방배로,126.9924576,37.49001452,2018,5,내방역,219.7677482,1,31,10,1,2,2,0,42,4,46
22,23514101,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 3000-1,서울특별시 서초구 동작대로,126.9826899,37.4864978,2018,5,이수역,199.3085541,1,31,10,1,2,2,0,42,4,46
23,20014593,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로,126.9856769,37.49723701,2018,2,구반포역,491.765889,1,31,10,1,2,2,0,42,4,46
24,20026883,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 51,서울특별시 강남구 삼성로,127.0527047,37.51347189,2018,2,중앙역,421.7514098,1,41,19,12,0,3,1,72,4,76
25,20014851,스타벅스,11680,강남구,1168011500,수서동,서울특별시 강남구 수서동 713,서울특별시 강남구 밤고개로1길,127.1018421,37.48801336,2018,7,수서역,114.5366135,1,3,7,0,0,2,0,10,4,14
26,23482258,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 238-5,서울특별시 강남구 언주로,127.0357413,37.51491147,2018,5,학동역,357.7660352,1,32,25,8,1,2,1,65,4,69
27,20016436,스타벅스,11305,강북구,1130510200,번동,서울특별시 강북구 번동 418-17,서울특별시 강북구 도봉로,127.0261078,37.63802308,2018,8,수유역,575.7660511,1,3,3,0,0,0,0,6,0,6
28,20291002,스타벅스,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 763-3,서울특별시 노원구 동일로,127.0621587,37.64815447,2018,4,노원역,607.0049177,1,13,4,0,13,4,2,17,19,36
29,20831001,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 735-3,서울특별시 강남구 테헤란로,127.0337924,37.49937038,2018,1,동오역,155.4704207,1,71,59,3,3,9,0,134,12,146
30,20010719,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 92-1,서울특별시 서초구 서래로,126.9985423,37.49925701,2018,5,신반포역,493.8294799,1,21,10,5,0,8,0,38,8,46
31,20385995,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 736-1,서울특별시 강남구 테헤란로,127.0349412,37.49974019,2018,2,동오역,71.73265461,1,71,59,3,3,9,0,134,12,146
32,23220273,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 748-1,서울특별시 서초구 강남대로,127.023627,37.50531485,2018,5,신논현역,757.827381,1,21,10,5,0,8,0,38,8,46
33,23210644,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1464-22,서울특별시 서초구 남부순환로,127.0123471,37.48066733,2018,3,남부터미널역,715.4530861,1,52,62,14,5,6,1,128,14,142
34,20015708,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1457-1,서울특별시 서초구 효령로,127.0141978,37.48438612,2018,4,남부터미널역,271.4559687,1,52,62,14,5,6,1,128,14,142
35,23517515,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 118-3,서울특별시 서초구 사평대로,127.0078261,37.50448036,2018,0,고속터미널역,262.3471005,1,21,10,5,0,8,0,38,8,46
36,22934175,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 529-10,서울특별시 강남구 논현로175길,127.0216293,37.52318421,2018,2,신사역,468.3070005,1,22,22,7,2,6,1,51,9,60
37,20385969,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 70-1,서울특별시 서초구 잠원로,127.006958,37.51024881,2018,4,반포역,482.2776634,1,23,4,3,2,0,0,30,2,32
38,23224039,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 52-1,서울특별시 강남구 도산대로,127.0515717,37.52433852,2018,1,청담역,680.1955231,1,21,15,9,0,2,0,45,2,47
39,20430267,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255,37.5115851,2018,2,학동역,304.1309253,1,32,25,8,1,2,1,65,4,69
40,20482725,스타벅스,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.0451163,37.47781003,2018,5,매봉역,1029.502173,1,3,0,0,4,0,0,3,4,7
41,20803626,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 154-10,서울특별시 강남구 테헤란로87길,127.0579087,37.50981919,2018,0,봉은사역,725.2431598,1,41,19,12,0,3,1,72,4,76
42,25292064,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 37-17,서울특별시 강남구 봉은사로,127.0445494,37.51077512,2018,2,선정릉역,26.94667193,1,41,19,12,0,3,1,72,4,76
43,20028664,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로,127.0307455,37.51460026,2018,5,학동역,96.4758744,1,32,25,8,1,2,1,65,4,69
44,20028264,스타벅스,11350,노원구,1135010600,중계동,서울특별시 노원구 중계동 360-6,서울특별시 노원구 중계로,127.0759774,37.65049809,2018,4,상계역,1192.233785,1,3,3,0,6,2,0,6,8,14
45,20248022,스타벅스,11305,강북구,1130510100,미아동,서울특별시 강북구 미아동 121-19,서울특별시 강북구 도봉로,127.0265575,37.62613312,2018,5,미아역,401.6439962,1,9,0,0,7,0,0,9,7,16
46,20028995,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 942-5,서울특별시 강남구 삼성로86길,127.0579257,37.50576457,2018,0,한티역,918.6587958,1,39,48,3,6,6,2,90,14,104
47,20286267,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 697-45,서울특별시 강남구 선릉로93길,127.046716,37.50495379,2018,0,선릉역,249.6646979,1,71,59,3,3,9,0,134,12,146
48,20308953,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 104-30,서울특별시 성북구 인촌로24길,127.029689,37.58391819,2018,2,안암역,243.5949019,1,15,8,0,3,2,0,23,5,28
49,20307826,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.0393917,37.49222561,2018,2,동오역,856.7823164,1,71,59,3,3,9,0,134,12,146
50,20282898,스타벅스,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 712,서울특별시 노원구 동일로,127.0600017,37.65475991,2018,1,노원역,155.665648,1,13,4,0,13,4,2,17,19,36
51,20017045,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 679,서울특별시 강남구 논현로,127.0372774,37.50188574,2018,3,동오역,323.943033,1,71,59,3,3,9,0,134,12,146
52,23197283,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1693-3,서울특별시 서초구 서초중앙로,127.0139553,37.49423264,2018,5,교대역,311.6165415,1,52,62,14,5,6,1,128,14,142
53,22580385,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 1001-8,서울특별시 강남구 영동대로86길,127.0651728,37.50781348,2018,3,봉은사역,791.1022279,1,39,48,3,6,6,2,90,14,104
54,23498986,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 37-7,서울특별시 서초구 강남대로,127.0206276,37.51153431,2018,2,신사역,913.5060861,1,23,4,3,2,0,0,30,2,32
55,6660863,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 93-2,서울특별시 강남구 도산대로,127.0379529,37.52239022,2018,2,압구정로데오역,835.8182999,1,32,25,8,1,2,1,65,4,69
56,20680170,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1623-1,서울특별시 서초구 서초중앙로,127.0151529,37.48743065,2018,3,남부터미널역,88.76274243,1,52,62,14,5,6,1,128,14,142
57,20010511,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1657-5,서울특별시 서초구 서초중앙로,127.014217,37.49238766,2018,2,교대역,394.3143782,1,52,62,14,5,6,1,128,14,142
58,20388439,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 708-6,서울특별시 강남구 테헤란로,127.0485159,37.5039411,2018,0,선릉역,91.61739892,1,71,59,3,3,9,0,134,12,146
59,23312129,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 52-6,서울특별시 서초구 서초중앙로,127.0115392,37.50165515,2018,5,사평역,366.1103443,1,21,10,5,0,8,0,38,8,46
60,25240856,스타벅스,11305,강북구,1130510300,수유동,서울특별시 강북구 수유동 174-13,서울특별시 강북구 도봉로,127.027328,37.64003344,2018,7,수유역,623.3065058,1,3,3,0,6,2,0,6,8,14
61,23311558,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 6-5,서울특별시 강남구 도산대로,127.0468501,37.52375987,2018,2,강남구청역,616.7562865,1,21,15,9,0,2,0,45,2,47
62,23248292,스타벅스,11710,송파구,1171011200,오금동,서울특별시 송파구 오금동 17-8,서울특별시 송파구 마천로,127.1266385,37.50854524,2018,3,방이역,119.2289936,1,6,0,0,0,0,0,6,0,6
63,20691915,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로,127.0278969,37.52404691,2018,2,압구정역,67.52348677,1,22,22,7,2,6,1,51,9,60
64,23196601,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.0274035,37.49493882,2018,3,강남역,409.6787578,1,52,62,14,5,6,1,128,14,142
65,20378251,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 639-7,서울특별시 강남구 언주로174길,127.03642,37.52810841,2018,2,압구정로데오역,453.3382038,1,22,22,7,2,6,1,51,9,60
66,23454449,스타벅스,11650,서초구,1165010200,양재동,서울특별시 서초구 양재동 14-4,서울특별시 서초구 강남대로,127.0368501,37.48232032,2018,4,양재역,410.5624915,1,8,3,0,0,0,0,11,0,11
67,23513141,스타벅스,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 181,서울특별시 송파구 위례성대로,127.122997,37.51332992,2018,1,방이역,627.3552221,1,16,11,0,0,2,0,27,2,29
68,20007418,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.0254816,37.50011306,2018,9,신논현역,929.573159,1,52,62,14,5,6,1,128,14,142
69,20691462,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 908-10,서울특별시 서초구 방배로,126.9976309,37.48198508,2018,10,방배역,93.67288999,1,31,10,1,2,2,0,42,4,46
70,19984883,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로,127.0944673,37.51066377,2018,0,잠실새내역,473.2486235,1,9,9,3,1,4,0,21,5,26
71,20012839,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1451-95,서울특별시 서초구 남부순환로323길,127.0134831,37.48112734,2018,4,남부터미널역,634.965213,1,52,62,14,5,6,1,128,14,142
72,20484259,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 994-10,서울특별시 강남구 영동대로,127.0685071,37.49799127,2018,2,학여울역,324.7326738,1,39,48,3,6,6,2,90,14,104
73,25313530,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 444-7,서울특별시 서초구 방배천로,126.9821471,37.47733842,2018,8,사당역,262.1005907,1,31,10,1,2,2,0,42,4,46
74,23186849,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 181,서울특별시 송파구 올림픽로,127.0812008,37.51145336,2018,0,종합운동장역,611.003503,1,9,9,3,1,4,0,21,5,26
75,8730737,스타벅스,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.1193706,37.47826065,2018,2,장지역,645.9994901,1,15,13,0,7,2,4,28,13,41
76,8735684,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.0406526,37.50239076,2018,0,역삼역,169.6884916,1,71,59,3,3,9,0,134,12,146
77,8736083,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.0353547,37.50804228,2018,2,언주역,243.0355443,1,32,25,8,1,2,1,65,4,69
78,25285303,스타벅스,11290,성북구,1129013500,종암동,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.0342762,37.60130987,2018,3,월곡역,633.7593317,1,6,0,0,0,2,0,6,2,8
79,8732182,스타벅스,11680,강남구,1168011800,도곡동,서울특별시 강남구 도곡동 946-14,서울특별시 강남구 강남대로,127.032473,37.48855591,2018,5,양재역,426.2629389,1,9,11,0,0,0,2,21,2,23
80,8736085,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 681,서울특별시 강남구 봉은사로,127.0403528,37.50902009,2018,2,선정릉역,412.7714478,1,71,59,3,3,9,0,134,12,146
81,8729351,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 809-10,서울특별시 강남구 강남대로,127.0255555,37.5031322,2018,9,신논현역,693.8422651,1,71,59,3,3,9,0,134,12,146
82,26261077,스타벅스,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 97-7,서울특별시 송파구 송파대로30길,127.1187684,37.49488077,2018,0,가락시장역,223.5200754,1,13,1,0,4,4,2,14,10,24
83,8725994,스타벅스,11290,성북구,1129013400,길음동,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로,127.0287256,37.60839154,2018,4,길음역,670.5105075,1,4,0,0,2,2,0,4,4,8
84,8732314,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 678-39,서울특별시 강남구 테헤란로,127.0392228,37.50187455,2018,2,역삼역,165.4671132,1,71,59,3,3,9,0,134,12,146
85,23447206,스타벅스,11710,송파구,1171010600,삼전동,서울특별시 송파구 삼전동 130-2,서울특별시 송파구 석촌호수로,127.0966117,37.50636412,2018,0,석촌고분역,352.3537064,1,3,0,0,2,0,0,3,2,5
86,25456593,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1445-4,서울특별시 서초구 서초중앙로,127.0169304,37.4846702,2018,9,남부터미널역,259.6605774,1,52,62,14,5,6,1,128,14,142
87,9780390,스타벅스,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길,127.0619664,37.62650103,2018,0,광운대역,343.6030796,1,7,0,0,4,2,0,7,6,13
88,11516500,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 126-1,서울특별시 성북구 인촌로,127.0263415,37.58709834,2018,4,안암역,292.3348082,1,15,8,0,3,2,0,23,5,28
89,20025735,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 747-21,서울특별시 강남구 논현로,127.0388807,37.49591579,2018,3,동오역,478.4269703,1,71,59,3,3,9,0,134,12,146
90,23316524,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1317-23,서울특별시 서초구 서초대로,127.0259036,37.49809817,2018,5,강남역,766.0445487,1,52,62,14,5,6,1,128,14,142
91,20828526,스타벅스,11350,노원구,1135010300,공릉동,서울특별시 노원구 공릉동 126,서울특별시 노원구 화랑로,127.088969,37.62877599,2018,0,화랑대역,1104.21154,1,6,0,0,2,2,0,6,4,10
92,20005051,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 나루터로4길,127.013448,37.50958236,2018,0,반포역,201.6552644,1,23,4,3,2,0,0,30,2,32
93,20017739,스타벅스,11680,강남구,1168011800,도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길,127.0541634,37.48929922,2018,2,도곡역,171.1617613,1,9,11,0,0,0,2,21,2,23
94,20424762,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 826-26,서울특별시 강남구 테헤란로2길,127.0296792,37.49648032,2018,3,강남역,466.3847156,1,71,59,3,3,9,0,134,12,146
95,20025300,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 646-15,서울특별시 강남구 테헤란로,127.0351776,37.50070625,2018,1,동오역,158.1699989,1,71,59,3,3,9,0,134,12,146
96,25585003,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 5-1,서울특별시 강남구 도산대로,127.0233685,37.51734176,2018,0,신사역,479.266333,1,32,25,8,1,2,1,65,4,69
97,20028687,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 988-17,서울특별시 강남구 도곡로,127.0622213,37.49962651,2018,1,대치역,573.7856003,1,39,48,3,6,6,2,90,14,104
98,23213262,스타벅스,11710,송파구,1171010400,송파동,서울특별시 송파구 송파동 7-4,서울특별시 송파구 석촌호수로,127.1052164,37.50943014,2018,0,잠실역,585.3544006,1,7,0,0,0,0,0,7,0,7
99,20389762,스타벅스,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 410-1,서울특별시 노원구 석계로,127.0607054,37.62317518,2018,6,광운대역,140.7347133,1,7,0,0,4,2,0,7,6,13
100,20295450,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1699-3,서울특별시 서초구 서초중앙로,127.013362,37.49635417,2018,2,교대역,390.7242464,1,52,62,14,5,6,1,128,14,142
101,20023633,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 144-25,서울특별시 강남구 테헤란로,127.0555809,37.50694425,2018,4,선릉역,766.3548062,1,41,19,12,0,3,1,72,4,76
102,25694521,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로,127.0023932,37.50393001,2018,3,고속터미널역,243.5382104,1,21,10,5,0,8,0,38,8,46
103,20880708,스타벅스,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 11-4,서울특별시 송파구 올림픽로35가길,127.1034466,37.51743613,2018,1,잠실나루역,204.8843017,1,13,4,0,0,6,4,17,11,28
104,20088322,스타벅스,11290,성북구,1129010200,성북동1가,서울특별시 성북구 성북동1가 35-1,서울특별시 성북구 성북로,127.0049043,37.58904601,2018,5,한성대입구역,252.4552003,1,3,0,0,0,0,0,3,0,3
105,25274618,스타벅스,11710,송파구,1171010400,송파동,서울특별시 송파구 송파동 96-7,서울특별시 송파구 송파대로,127.1103348,37.50226933,2018,2,석촌역,127.5639521,1,7,0,0,0,0,0,7,0,7
106,23208222,스타벅스,11320,도봉구,1132010700,창동,서울특별시 도봉구 창동 659-5,서울특별시 도봉구 도봉로,127.0348687,37.64834884,2018,5,쌍문역,81.13501854,1,4,0,0,2,0,0,4,2,6
107,20389010,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 701-7,서울특별시 강남구 테헤란로,127.0437621,37.50333505,2018,2,역삼역,391.9644982,1,71,59,3,3,9,0,134,12,146
108,22800473,스타벅스,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 723,서울특별시 노원구 노해로,127.0638259,37.65436683,2018,3,노원역,280.9414336,1,13,4,0,13,4,2,17,19,36
109,20009577,스타벅스,11650,서초구,1165010200,양재동,서울특별시 서초구 양재동 4-3,서울특별시 서초구 논현로,127.0425756,37.48198841,2018,6,매봉역,664.8815766,1,8,3,0,0,0,0,11,0,11
110,20699038,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 635-13,서울특별시 강남구 압구정로42길,127.0347168,37.52683303,2018,0,압구정로데오역,647.4369493,1,22,22,7,2,6,1,51,9,60
111,25729943,스타벅스,11680,강남구,1168011400,일원동,서울특별시 강남구 일원동 50,서울특별시 강남구 일원로,127.0895788,37.49033434,2018,0,일원역,835.8197473,1,3,0,3,0,0,0,6,0,6
112,25744200,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 91-31,서울특별시 강남구 영동대로,127.0601934,37.51524372,2018,2,봉은사역,275.5600825,1,41,19,12,0,3,1,72,4,76
113,25846799,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 157,서울특별시 강남구 삼성로,127.056219,37.50836401,2018,3,중앙역,771.6854026,1,41,19,12,0,3,1,72,4,76
114,25730277,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 인촌로,127.0309577,37.58648758,2018,4,안암역,143.6888881,1,15,8,0,3,2,0,23,5,28
115,25683194,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 70-2,서울특별시 서초구 잠원로,127.0074239,37.50923454,2018,3,반포역,403.4144019,1,23,4,3,2,0,0,30,2,32
116,25742491,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로,127.0484061,37.49922769,2018,2,한티역,281.5971893,1,71,59,3,3,9,0,134,12,146
117,25808541,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1303-16,서울특별시 서초구 서초대로77길,127.0238869,37.50272196,2018,4,신논현역,842.5266149,1,52,62,14,5,6,1,128,14,142
118,25797473,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 679-4,서울특별시 강남구 테헤란로,127.0377338,37.50157409,2018,4,역삼역,265.2019215,1,71,59,3,3,9,0,134,12,146
119,25902757,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.0405131,37.52653786,2018,0,압구정로데오역,329.2732012,1,21,15,9,0,2,0,45,2,47
120,23498613,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 651,서울특별시 강남구 남부순환로,127.0573953,37.4921724,2018,3,도곡역,271.5420936,1,39,48,3,6,6,2,90,14,104
121,20681728,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 889-70,서울특별시 강남구 테헤란로64길,127.0511761,37.50376427,2018,3,선릉역,258.8940039,1,39,48,3,6,6,2,90,14,104
122,25901259,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로,126.9856769,37.49723701,2018,2,구반포역,491.765889,1,31,10,1,2,2,0,42,4,46
123,20014581,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로,127.0591391,37.51182033,2018,0,봉은사역,489.8537508,1,41,19,12,0,3,1,72,4,76
124,23784909,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 59-8,서울특별시 강남구 논현로,127.0286278,37.5191512,2018,2,압구정역,488.0782294,1,32,25,8,1,2,1,65,4,69
