상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_합격(상권코드),2019_총_유동인구_수_합격(상권코드),2018_총_유동인구_수_합격(상권코드)
1000702,도림천로21길,20,영등포구,5160363,21267600,21056971,7667005
1000701,도림로63길,20,영등포구,4092549,16056953,15886592,5258794
1000700,도림로147길,20,영등포구,2301194,9476184,9436510,3490158
1000699,도림로112길,20,영등포구,4986782,20584475,21054786,6906949
1000698,대림로8길,20,영등포구,5963583,22302284,19558756,8169408
1000697,대림로7길,20,영등포구,3023099,12763005,12442363,5230934
1000696,대림로44길,20,영등포구,2976584,12979507,14734493,5514116
1000695,대림로34길,20,영등포구,3527298,14768082,15999187,6911150
1000694,대림로31길,20,영등포구,4034327,15982441,17054079,6993019
1000693,대림로29길,20,영등포구,5578410,22072579,24797973,10078002
1000692,대림로22길,20,영등포구,7304677,25963642,22028890,7238261
1000691,당산로46길,20,영등포구,2566570,10946658,11720998,7609795
1000690,당산로38길,20,영등포구,4091637,16092576,15845665,6541786
1000689,당산로37길,20,영등포구,4392185,18462432,18969328,6553174
1000688,당산로31길,20,영등포구,3475237,14429517,15074458,6381747
1000687,국회대로56길,20,영등포구,2781333,11958932,12931838,6735521
1000686,경인로90길,20,영등포구,2044114,8718733,9810545,4358835
1000685,경인로80길,20,영등포구,2495993,10167593,10142796,3829799
1000684,경인로77길,20,영등포구,2420238,10046819,10571810,3846230
1000683,가마산로61길,20,영등포구,4714354,19164267,18712701,6096160
1000682,시흥대로94길,8,금천구,4129383,15220934,16758490,4449901
1000681,시흥대로84길,8,금천구,4620595,17433522,17057567,3589272
1000680,시흥대로68길,8,금천구,4615559,18757377,18499111,6493223
1000679,시흥대로63길,8,금천구,1839629,7564342,7301607,4785216
1000678,시흥대로62가길,8,금천구,3787548,15682524,16423687,6179884
1000677,시흥대로36길,8,금천구,1235965,5220496,5760328,898360
1000676,시흥대로22길,8,금천구,1488975,6079604,6365979,654237
1000675,시흥대로153길,8,금천구,3157731,12504525,11516609,4443184
1000674,시흥대로150길,8,금천구,4523464,18269655,17272587,4543949
1000673,시흥대로141길,8,금천구,3419073,13606371,12056633,4567780
1000672,시흥대로138길,8,금천구,2498274,10010600,9753000,3534195
1000671,시흥대로120길,8,금천구,4004607,16829775,16295028,5134840
1000670,벚꽃로56길,8,금천구,2306101,8770320,8829242,2741950
1000669,범안로17길,8,금천구,1632869,6744914,7882686,2497105
1000668,범안로11길,8,금천구,2036061,8109110,8845549,2709272
1000667,문성로5길,8,금천구,4659320,18875328,18719765,4403466
1000666,독산로85길,8,금천구,3127048,12731172,12892613,4081972
1000665,독산로78다길,8,금천구,4627655,20851680,18190404,3929253
1000664,독산로70길,8,금천구,4510805,19633596,17533579,3848273
1000663,독산로64길,8,금천구,3843950,15008049,13138115,2740737
1000662,독산로50길,8,금천구,2166906,8753399,8295224,883627
1000661,독산로40길,8,금천구,3632519,14684532,14673207,2174322
