기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_평균(상권코드),2019_총_유동인구_수_평균(상권코드),2018_총_유동인구_수_평균(상권코드)
2020,4,1000897,논현로123길,1,강남구,3847955,4084340,3858860,968276
2020,4,1000896,논현로115길,1,강남구,6142013,6311135,6052987,2836184
2020,4,1000895,논현로10길,1,강남구,3248849,3330397,3243002,758853
2020,4,1000894,논현로106길,1,강남구,4041107,4157854,3941116,2508139
2020,4,1000893,남부순환로365길,18,송파구,4083361,4179391,4072164,1440648
2020,4,1000892,개포로82길,1,강남구,626361,660263,490686,136704
2020,4,1000891,개포로28길,1,강남구,2343374,2395755,2728651,798165
2020,4,1000890,개포로20길,1,강남구,3548927,3593827,3647958,1056082
2020,4,1000889,개포로17길,1,강남구,2642545,2662533,2928422,987373
2020,4,1000888,강남대로140길,1,강남구,3329588,3457952,3458518,2189724
2020,4,1000887,강남대로136길,1,강남구,4189847,4516230,4382167,2169136
2020,4,1000886,강남대로118길,1,강남구,4788690,4986617,4989969,1735292
2020,4,1000885,서초중앙로8길,15,서초구,4100128,4375589,4669081,1791843
2020,4,1000884,방배중앙로21길,15,서초구,4417652,4691954,4573372,1450894
2020,4,1000883,효령로72길,15,서초구,3196575,3190760,3503424,1419296
2020,4,1000882,효령로34길,15,서초구,2135225,2050833,2215585,1060254
2020,4,1000881,효령로31길,15,서초구,4018473,3963845,4013518,1673024
2020,4,1000880,효령로23길,15,서초구,3897951,3783204,3861174,1629685
2020,4,1000879,청두곶길,15,서초구,4606379,4873562,5014695,1835163
2020,4,1000878,주흥길,15,서초구,5198665,5496365,5452622,2432623
2020,4,1000877,주흥15길,15,서초구,4711183,4983256,4997602,2384487
2020,4,1000876,언남길,15,서초구,2741714,2702929,2610229,848477
2020,4,1000875,신반포로45길,15,서초구,4282863,4419595,4516311,2126310
2020,4,1000874,서초대로8길,15,서초구,3424204,3412095,3496267,1345678
2020,4,1000873,서초대로64길,15,서초구,3267524,3394965,3906779,1381255
2020,4,1000872,서초대로4길,15,서초구,4513409,4805326,5206669,3196676
2020,4,1000871,서초대로25길,15,서초구,4774707,4731398,4696481,1732094
2020,4,1000870,서초대로23길,15,서초구,4172175,4089304,4118549,1591836
2020,4,1000869,서초대로15길,15,서초구,3916261,3931600,4026239,1479997
2020,4,1000868,사평대로57길,15,서초구,5013914,5237505,5268050,3057610
2020,4,1000867,사평대로26길,15,서초구,2163278,2175238,1973988,585474
2020,4,1000866,사평대로22길,15,서초구,3242512,3266693,3122468,802778
2020,4,1000865,사임당로17길,15,서초구,4036394,4241944,5025071,2796684
2020,4,1000864,방배로42길,15,서초구,3245872,3234934,3320274,1236494
2020,4,1000863,방배로35길,15,서초구,4539815,4604408,4554460,1591549
2020,4,1000862,방배로18길,15,서초구,3210967,3350045,3327009,1399572
2020,4,1000861,반포대로9길,15,서초구,3127303,2925074,2675778,928805
2020,4,1000860,바우뫼로39길,15,서초구,3300288,3402438,3280358,1332122
2020,4,1000859,마방로2길,15,서초구,2182938,2228898,2452033,749172
2020,4,1000858,방배천로4안길,15,서초구,3744413,4016263,4220505,2280501
2020,4,1000857,동산로19길,15,서초구,3587787,3624405,3387226,955373
2020,4,1000856,동산로10길,15,서초구,2725883,2792039,2881731,739653
2020,4,1000855,동광로39길,15,서초구,3231051,3298854,2940056,771998
2020,4,1000854,동광로1길,15,서초구,4548182,4792388,4692877,1034504
2020,4,1000853,동광로12길,15,서초구,5647876,5925288,6128117,3711155
2020,4,1000852,논현로27길,1,강남구,2716694,2802541,2719180,1237627
2020,4,1000851,논현로1길,1,강남구,3229829,3274685,3182192,733681
2020,4,1000850,남부순환로339길,15,서초구,2536541,2643618,2891958,906653
2020,4,1000849,남부순환로325길,15,서초구,3223490,3270210,3263954,1821084
2020,4,1000848,남부순환로317길,15,서초구,3569133,3484553,3369675,1512670
2020,4,1000847,고무래로8길,15,서초구,2887091,2847778,2896068,1003159
2020,4,1000846,강남대로8길,1,강남구,2797605,2894679,3068544,846148
2020,4,1000845,강남대로34길,1,강남구,3477455,3529768,3572288,1661531
2020,4,1000844,강남대로23길,1,강남구,1264607,1314541,1308633,557801
2020,4,1000843,소담길,1,강남구,6960055,6968525,6052521,1470735
2020,4,1000842,원신길,5,관악구,3005214,3106473,2999566,590694
2020,4,1000841,양지길,5,관악구,3522214,3710836,3982579,1331809
2020,4,1000840,양산길,5,관악구,3073823,3322526,3663124,1183486
2020,4,1000839,호암로24길,5,관악구,7392121,7892707,8800520,3450175
