상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,합
16675028,빽다방,연신내사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138052000,불광1동,1138010300,불광동,1.14E+18,1,대지,308,14,서울특별시 은평구 불광동 308-14,1.14E+11,서울특별시 은평구 통일로,840,,1.14E+24,범서빌딩,서울특별시 은평구 통일로 840,122859,3350,,1,,126.9220836,37.61838614,7
11806194,빽다방청담영동고점,청담영동고점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168056500,청담동,1168010400,청담동,1.17E+18,1,대지,40,2,서울특별시 강남구 청담동 40-2,1.17E+11,서울특별시 강남구 선릉로,720,,1.17E+24,유관빌딩,서울특별시 강남구 선릉로 720,135951,6065,,1,,127.0408464,37.51906184,10
25246706,빽다방강동역헤르셔점,강동역헤르셔점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174062000,천호3동,1174010900,천호동,1.17E+18,1,대지,447,17,서울특별시 강동구 천호동 447-17,1.17E+11,서울특별시 강동구 천호대로,1089,,1.17E+24,강동헤르셔,서울특별시 강동구 천호대로 1089,134020,5339,,1,,127.1330784,37.53656154,8
11777468,빽다방-목동사거리점,목동사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1.15E+18,1,대지,781,13,서울특별시 강서구 화곡동 781-13,1.15E+11,서울특별시 강서구 곰달래로,272,,1.15E+24,대동장여관,서울특별시 강서구 곰달래로 272,157010,7786,,1,,126.8631562,37.53217207,8
11775767,빽다방,역삼GS점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1.17E+18,1,대지,669,9,서울특별시 강남구 역삼동 669-9,1.17E+11,서울특별시 강남구 봉은사로30길,73,,1.17E+24,,서울특별시 강남구 봉은사로30길 73,135080,6140,,,,127.0371055,37.50293858,10
25305917,빽다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174065000,성내2동,1174010800,성내동,1.17E+18,1,대지,48,4,서울특별시 강동구 성내동 48-4,1.17E+11,서울특별시 강동구 천호옛길,94,,1.17E+24,,서울특별시 강동구 천호옛길 94,134030,5379,,1,,127.1260359,37.53694213,8
12562806,빽다방,약수역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114062500,다산동,1114016200,신당동,1.11E+18,1,대지,374,10,서울특별시 중구 신당동 374-10,1.11E+11,서울특별시 중구 다산로,131,,1.11E+24,약수장여관,서울특별시 중구 다산로 131,100834,4607,,1,1,127.0108145,37.55569403,5
16187924,빽다방,명지대,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141068500,홍은2동,1141011800,홍은동,1.14E+18,1,대지,409,37,서울특별시 서대문구 홍은동 409-37,1.14E+11,서울특별시 서대문구 거북골로,19,,1.14E+24,,서울특별시 서대문구 거북골로 19,120848,3662,,1,,126.925248,37.58031935,2
25344968,빽다방,잠실신천점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171065000,잠실본동,1171010100,잠실동,1.17E+18,1,대지,183,3,서울특별시 송파구 잠실동 183-3,1.17E+11,서울특별시 송파구 백제고분로7길,45,,1.17E+24,페로스,서울특별시 송파구 백제고분로7길 45,138220,5558,,1,,127.083922,37.51092485,8
28462412,빽다방,성수역롯데캐슬점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11200,성동구,1120069000,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,289,10,서울특별시 성동구 성수동2가 289-10,1.12E+11,서울특별시 성동구 성수이로,113,,1.12E+24,빌딩,서울특별시 성동구 성수이로 113,133120,4794,,1,,127.0571136,37.54513411,5
