상가업소번호,상호명=스타벅스,지점명,시군구코드,시군구명,"강남,서초,송파=1"
16195996,1,이촌역점,11170,용산구,0
12569821,1,대우재단빌딩점,11140,중구,0
12562171,1,독산사거리점,11545,금천구,0
11733281,1,화곡동점,11500,강서구,0
12573377,1,문정역점,11710,송파구,1
28520579,1,신설동역점,11230,동대문구,0
12553778,1,미아점,11290,성북구,0
12578979,1,황학사거리점,11200,성동구,0
16195725,1,가산브이타워,11545,금천구,0
12503926,1,금천시흥점,11545,금천구,0
12553941,1,마곡GMG점,11500,강서구,0
11921472,1,둔촌동점,11740,강동구,0
12576496,1,강남대로신사점,11650,서초구,1
12573478,1,경희대삼거리점,11230,동대문구,0
11926380,1,양평동점,11560,영등포구,0
25381614,1,신월ICDT점,11470,양천구,0
25637642,1,문정로데오점,11710,송파구,1
11516500,1,고대안암병원점,11290,성북구,0
12563750,1,잠실대교남단점,11710,송파구,1
26262381,1,상수역점,11440,마포구,0
12042236,1,대치은마사거리점,11680,강남구,1
12636662,1,을지로국제빌딩점,11140,중구,0
25660150,1,숙대점,11170,용산구,0
25659316,1,서소문배재점,11140,중구,0
12076165,1,송파방이DT점,11710,송파구,1
12038413,1,강동역점,11740,강동구,0
16025105,1,방화DT,11500,강서구,0
16054670,1,여의도화재보험,11560,영등포구,0
16981000,1,광진구,11215,광진구,0
25711446,1,보라매점,11620,관악구,0
25694521,1,신세계강남점,11650,서초구,1
19998811,1,종로3가점,11110,종로구,0
12041594,1,연세세브란스점,11140,중구,0
16764830,1,대치삼성프라자점,11680,강남구,1
11869893,1,청계산입구역점,11650,서초구,1
11970440,1,합정점,11440,마포구,0
12666554,1,강남오거리점,11680,강남구,1
11931445,1,숭실대입구역점,11590,동작구,0
11930925,1,약수역점,11140,중구,0
11931102,1,회현역점,11140,중구,0
11970460,1,압구정점,11680,강남구,1
11931409,1,염창역점,11500,강서구,0
11931132,1,마포이마트점,11440,마포구,0
11931405,1,논현힐탑점,11680,강남구,1
11935008,1,가든파이브점,11710,송파구,1
11966216,1,가산디지털단지역점,11545,금천구,0
11931101,1,명동입구점,11140,중구,0
11931106,1,남산스테이트점,11140,중구,0
25539473,1,새문안로점,11110,종로구,0
11931273,1,영등포신길DT점,11560,영등포구,0
11989664,1,신당역사거리점,11140,중구,0
11930878,1,중구저동점,11140,중구,0
11930871,1,충정타워점,11410,서대문구,0
11934266,1,신촌오거리점,11440,마포구,0
11931313,1,대치사거리점,11680,강남구,1
11931086,1,명동중앙로점,11140,중구,0
23305132,1,여의도일신점,11560,영등포구,0
20283351,1,여의도IFC1F,11560,영등포구,0
16952648,1,명동남산,11140,중구,0
20035319,1,보라매타운점,11590,동작구,0
17070695,1,서울대치과병원점,11110,종로구,0
12665937,1,강남점,11680,강남구,1
25317564,1,구의역점,11215,광진구,0
8730737,1,가든파이브,11710,송파구,1
20054384,1,연대동문점,11410,서대문구,0
8735684,1,큰길타워점,11680,강남구,1
26264027,1,동교삼거리점,11410,서대문구,0
20078834,1,가산브이타워,11545,금천구,0
8736083,1,차병원사거리점,11680,강남구,1
20325090,1,청담공원점,11680,강남구,1
20082320,1,서초동점,11650,서초구,1
12004643,1,낙성대DT점,11620,관악구,0
20488763,1,압구정로데오역,11680,강남구,1
16109325,1,송파개롱역점,11710,송파구,1
19967765,1,이대이씨씨점,11410,서대문구,0
11978034,1,성신여대정문,11290,성북구,0
26268135,1,구파발역점,11380,은평구,0
25285303,1,종암점,11290,성북구,0
12081650,1,커피마포염리,11440,마포구,0
11991786,1,한남동점,11170,용산구,0
16113431,1,송파개롱역점,11710,송파구,1
12082673,1,국회의사당역점,11560,영등포구,0
12064739,1,미아뉴타운점,11305,강북구,0
16161978,1,용산역써밋R점,11170,용산구,0
12079342,1,목동오목로점,11470,양천구,0
12069794,1,화곡DT점,11500,강서구,0
12611340,1,송파위례점,11710,송파구,1
12584840,1,문정하비오점,11710,송파구,1
9780390,1,월계이마트점,11350,노원구,0
12510878,1,강남구청정문점,11680,강남구,1
12620792,1,국회대로점,11560,영등포구,0
16058450,1,마포경찰서후문,11440,마포구,0
16185923,1,착한빵,11140,중구,0
16055885,1,신림DT점,11620,관악구,0
23311558,1,청담사거리점,11680,강남구,1
16184113,1,미스리,11110,종로구,0
16182031,1,미스리,11545,금천구,0
23248292,1,방이역점,11710,송파구,1
16012861,1,연신내역사거리점,11380,은평구,0
12534042,1,을지로내외빌딩점,11140,중구,0
16009661,1,서초우성사거리점,11650,서초구,1
16066767,1,방화DT점,11500,강서구,0
12495346,1,구로디지털타워점,11530,구로구,0
16069888,1,구파발사거리,11380,은평구,0
20691915,1,압구정역2점,11680,강남구,1
23328475,1,천호이마트점,11740,강동구,0
12520845,1,홍제역점,11410,서대문구,0
16086867,1,한강진역점,11170,용산구,0
12519278,1,가양역점,11500,강서구,0
12520814,1,잠실대교남단점,11710,송파구,1
15959594,1,신도림점,11530,구로구,0
15990974,1,동작구,11590,동작구,0
16055205,1,홍대입구역사거리,11440,마포구,0
16059494,1,서초구청점,11650,서초구,1
12129375,1,송파구청점,11710,송파구,1
15989574,1,신촌역점,11410,서대문구,0
19984883,1,갤러리아팰리스점,11710,송파구,1
20284027,1,을지로센터,11140,중구,0
20256706,1,건국클래식점,11215,광진구,0
23191164,1,은평구청입구점,11380,은평구,0
20012839,1,예술의전당점,11650,서초구,1
23186849,1,신천역점,11710,송파구,1
23310463,1,삼선교점,11290,성북구,0
20673858,1,묵동이마트점,11260,중랑구,0
23491655,1,연희DT점,11410,서대문구,0
20448740,1,숙대입구역점,11170,용산구,0
17163312,1,굽은다리역점,11740,강동구,0
20807383,1,보라매대교점,11620,관악구,0
20825451,1,신림사거리점,11620,관악구,0
20023633,1,삼성점,11680,강남구,1
20748026,1,이태원거리점,11170,용산구,0
19993461,1,고대안암병원점,11290,성북구,0
23288567,1,내방역점,11650,서초구,1
12478338,1,송파방이DT점,11710,송파구,1
20600882,1,잠실역점,11710,송파구,1
12097370,1,중앙대점,11590,동작구,0
12633394,1,외대정문점,11230,동대문구,0
23498613,1,도곡역점,11680,강남구,1
12638817,1,성수역점,11200,성동구,0
19969951,1,경기대점,11410,서대문구,0
12637945,1,공릉역점,11350,노원구,0
23229662,1,올림픽공원북문점,11740,강동구,0
12430956,1,서강광흥창역점,11440,마포구,0
12456389,1,서울대역점,11620,관악구,0
12657109,1,이수역사거리점,11650,서초구,1
20593494,1,충정타워,11410,서대문구,0
12104846,1,강남우성점,11680,강남구,1
12431198,1,청담영동대로점,11680,강남구,1
20320906,1,종각점,11110,종로구,0
23353775,1,상암디지털큐브점,11440,마포구,0
25278161,1,중랑역점,11260,중랑구,0
20026883,1,삼성현대힐점,11680,강남구,1
23369365,1,안국점,11110,종로구,0
12514290,1,강남대로논현점,11650,서초구,1
20014851,1,수서점,11680,강남구,1
12526059,1,답십리역점,11230,동대문구,0
12483165,1,연희동점,11410,서대문구,0
23514101,1,이수역점,11650,서초구,1
20014593,1,방배카페입구,11650,서초구,1
12494339,1,동대문점,11140,중구,0
12122909,1,양천향교역점,11500,강서구,0
16279533,1,삼성역섬유센터R점,11680,강남구,1
20803626,1,삼성도심공항점,11680,강남구,1
19999804,1,서울극장점,11110,종로구,0
16280199,1,등촌역점,11470,양천구,0
16277001,1,이수자이점,11590,동작구,0
23179962,1,타임스퀘어B2점,11560,영등포구,0
20681728,1,선릉점,11680,강남구,1
25543031,1,명동길점,11140,중구,0
23181814,1,군자역점,11215,광진구,0
