,cafe_nm,gu_cd,gu_x,dong_cd,dong,gibun,road_x,lng,lat,year,bus_cnt,HubName,HubDist,cafe_cd,pop,pop_avg,gu_num,gu,apt_name,size,trade_year,month,day,trade,floor,byear,sizetrade,average_sizetrade
39,스타벅스논현힐탑,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255,37.5115851,2018,2,학동역,304.1307396,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
40,스타벅스,11680,강남구,1168010300,개포동,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로,127.0451163,37.47781003,2018,5,매봉역,1029.502388,1,228916,626308,1,강남구,개포6차우성아파트1동~8동,79,201801,1,3,130000,4,1987,1645.56962,2350.950643
41,스타벅스삼성도심공항점,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 154-10,서울특별시 강남구 테헤란로87길,127.0579087,37.50981919,2018,0,봉은사역,725.2422852,1,2836411,1542360,1,강남구,LG선릉에클라트(A),36,201802,2,10,36000,4,2003,1000,1773.421078
42,스타벅스선정릉역점,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 37-17,서울특별시 강남구 봉은사로,127.0445494,37.51077512,2018,2,선정릉역,26.94691324,1,2836411,1542360,1,강남구,LG선릉에클라트(A),36,201802,2,10,36000,4,2003,1000,1773.421078
43,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로,127.0307455,37.51460026,2018,5,학동역,96.47906595,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
45,스타벅스미아역점,11305,강북구,1130510100,미아동,서울특별시 강북구 미아동 121-19,서울특별시 강북구 도봉로,127.0265575,37.62613312,2018,5,미아역,401.6429862,1,1093873,1682819,0,강북구,경남아너스빌,84,201801,1,2,41500,2,2008,494.047619,611.8330187
46,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 942-5,서울특별시 강남구 삼성로86길,127.0579257,37.50576457,2018,0,한티역,918.6579844,1,1778436,2275593,1,강남구,개포우성1,127,201801,1,1,265000,11,1983,2086.614173,1929.110361
47,스타벅스선릉로점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 697-45,서울특별시 강남구 선릉로93길,127.046716,37.50495379,2018,0,선릉역,249.6665764,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
49,스타벅스역삼럭키,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.0393917,37.49222561,2018,2,동오역,856.7836136,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
50,스타벅스,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 712,서울특별시 노원구 동일로,127.0600017,37.65475991,2018,1,노원역,155.6656953,1,1369917,2196320,0,노원구,건영,59,201803,3,29,25000,14,2003,423.7288136,619.5435142
51,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 679,서울특별시 강남구 논현로,127.0372774,37.50188574,2018,3,동오역,323.9438103,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
52,스타벅스교대역점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1693-3,서울특별시 서초구 서초중앙로,127.0139553,37.49423264,2018,5,교대역,311.616614,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
