year,road,pop,gu,dong,pop_avg
2018,도봉로109길,1946908,도봉구,쌍문동,1562427.875
2018,도당로29길,880408,도봉구,방학동,1190994.818
2018,도당로19길,803550,도봉구,방학동,1190994.818
2018,도당로13바길,1023719,도봉구,방학동,1190994.818
2018,도당로13가길,1167647,도봉구,방학동,1190994.818
2018,덕릉로60길,706392,노원구,월계동,1069711
2018,노해로63다길,479599,도봉구,창동,1391477.813
2018,노해로60길,2434670,도봉구,쌍문동,1562427.875
2018,한천로140길,1994530,강북구,수유동,1630526.25
2018,한천로139가길,3028761,강북구,수유동,1630526.25
2018,한천로132길,2975307,강북구,번동,2258421.714
2018,한천로130길,1662761,강북구,번동,2258421.714
2018,한천로124나길,1895748,강북구,번동,2258421.714
2018,한천로109길,733273,강북구,번동,2258421.714
2018,인수봉로79길,453704,강북구,수유동,1630526.25
2018,인수봉로72길,1095059,강북구,수유동,1630526.25
2018,인수봉로56길,1009523,강북구,수유동,1630526.25
2018,오패산로67길,3506540,강북구,번동,2258421.714
2018,오패산로52길,1093873,강북구,미아동,1682818.618
2018,오패산로30길,1303244,강북구,미아동,1682818.618
2018,수유로12길,2261559,강북구,수유동,1630526.25
2018,솔샘로65길,1517742,강북구,미아동,1682818.618
2018,솔매로50길,2287267,강북구,미아동,1682818.618
2018,솔매로45길,1425213,강북구,미아동,1682818.618
2018,솔매로41길,1707499,강북구,미아동,1682818.618
2018,삼양로93길,1187821,강북구,수유동,1630526.25
2018,삼양로77길,885512,강북구,수유동,1630526.25
2018,삼양로54길,1400998,강북구,미아동,1682818.618
2018,삼양로41길,2469558,강북구,미아동,1682818.618
2018,삼양로27길,1864481,강북구,미아동,1682818.618
2018,삼양로24길,1607561,강북구,미아동,1682818.618
2018,삼양로20길,1323162,강북구,미아동,1682818.618
2018,삼각산로28길,2872464,강북구,수유동,1630526.25
2018,도봉로99길,1313706,강북구,수유동,1630526.25
2018,도봉로8길,1939870,강북구,미아동,1682818.618
2018,도봉로76길,2346505,강북구,미아동,1682818.618
2018,도봉로67길,1396457,강북구,미아동,1682818.618
2018,도봉로45길,1634395,강북구,미아동,1682818.618
2018,도봉로18길,1335436,강북구,미아동,1682818.618
2018,도봉로13길,1361282,강북구,미아동,1682818.618
2018,덕릉로41길,3574146,강북구,번동,2258421.714
2018,덕릉로40길,662993,강북구,번동,2258421.714
2018,노해로33길,1204245,강북구,수유동,1630526.25
2018,노해로23길,1250790,강북구,수유동,1630526.25
2018,노해로17길,2007049,강북구,수유동,1630526.25
2018,화랑로40길,1320670,성북구,석관동,1264947.9
2018,화랑로1길,1847200,성북구,하월곡동,1725981.958
2018,화랑로19길,1126762,성북구,상월곡동,1318110.25
2018,화랑로14길,1417016,성북구,하월곡동,1725981.958
2018,화랑로13길,1668232,성북구,하월곡동,1725981.958
2018,한천로76길,1330229,성북구,석관동,1264947.9
2018,한천로101가길,487566,성북구,장위동,833802.95
2018,창경궁로43길,1220438,성북구,성북동1가,1535164.25
2018,지봉로20길,1251816,성북구,보문동3가,1430430.5
2018,종암로5길,907342,성북구,종암동,1037639.05
2018,종암로24가길,771741,성북구,종암동,1037639.05
2018,종암로21길,1016402,성북구,종암동,1037639.05
2018,종암로19길,975710,성북구,종암동,1037639.05
2018,종암로16길,1122828,성북구,종암동,1037639.05
2018,정릉로8길,192803,성북구,정릉동,828684.3
2018,정릉로27길,1583085,성북구,정릉동,828684.3
2018,정릉로26길,716826,성북구,정릉동,828684.3
2018,장위로50길,658380,성북구,장위동,833802.95
2018,장월로1길,1362229,성북구,상월곡동,1318110.25
2018,인촌로6길,1294124,성북구,보문동,2223417.833
2018,인촌로5길,2343976,성북구,보문동,2223417.833
2018,인촌로24길,2770321,성북구,안암동,2087331.75
2018,개운사길,1697888,성북구,안암동5가,1877898.5
2018,인촌로1길,2613182,성북구,보문동,2223417.833
2018,인촌로17가길,1016087,성북구,안암동,2087331.75
2018,오패산로4길,2016561,성북구,하월곡동,1725981.958
2018,오패산로3길,1696348,성북구,하월곡동,1725981.958
2018,오패산로19길,1856299,성북구,하월곡동,1725981.958
2018,안암로5길,1567230,성북구,안암동4가,1779804.5
2018,아리랑로4길,3286859,성북구,동선동5가,3294942.75
2018,솔샘로6길,766228,성북구,정릉동,828684.3
2018,성북로8길,858146,성북구,성북동,993284
2018,삼양로8길,1393221,성북구,길음동,1261111.75
2018,삼선교로16가길,1742108,성북구,삼선동2가,2125396.5
2018,삼선교로10다길,1932990,성북구,삼선동1가,2057897
2018,삼선교로10길,2160617,성북구,삼선동2가,2125396.5
2018,보문로32길,3429033,성북구,삼선동5가,2923847.375
2018,보문로31길,2239928,성북구,삼선동5가,2923847.375
2018,보문로26길,1520704,성북구,보문동1가,1836200.5
2018,보문로13길,1360400,성북구,보문동7가,1599727.5
