,index,gap
558,210,949507
559,210,3916261
560,210,3245872
561,210,4382152
562,210,4581013
563,54,5702012
564,54,5949088
565,54,2293309
566,54,4036394
567,54,4539815
568,54,3300288
569,97,5702012
570,97,5949088
571,97,2293309
572,97,4036394
573,97,4539815
574,97,3300288
575,102,5702012
576,102,5949088
577,102,2293309
578,102,4036394
579,102,4539815
580,102,3300288
581,145,5702012
582,145,5949088
583,145,2293309
584,145,4036394
585,145,4539815
586,145,3300288
587,147,5702012
588,147,5949088
589,147,2293309
590,147,4036394
591,147,4539815
592,147,3300288
593,150,5702012
594,150,5949088
595,150,2293309
596,150,4036394
597,150,4539815
598,150,3300288
599,4,5812854
600,4,9787553
601,4,3832525
602,4,8487732
603,9,5812854
604,9,9787553
605,9,3832525
606,9,8487732
607,14,5812854
608,14,9787553
609,14,3832525
610,14,8487732
611,19,5812854
612,19,9787553
613,19,3832525
614,19,8487732
